Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ);MOL-Abweichung
01.11.2025;CET;00:00;00:15;MW;8,544;34,202;28,775;15,682;87,203;9,417;2,107;9,933;1,835;23,292;0
01.11.2025;CET;00:15;00:30;MW;66,347;91,772;69,467;166,375;393,961;0,049;0;1,32;0,145;1,514;0
01.11.2025;CET;00:30;00:45;MW;61,714;98,571;84,291;140,733;385,309;0,157;0;0,946;0;1,103;0
01.11.2025;CET;00:45;01:00;MW;137,396;103,004;60,468;211,093;511,961;0;0;1,062;0;1,062;0
01.11.2025;CET;01:00;01:15;MW;129,301;54,31;74,045;36,762;294,418;0,243;0;0,652;0;0,895;0
01.11.2025;CET;01:15;01:30;MW;151,819;105,596;72,971;120,272;450,658;0;0;0,781;0;0,781;0
01.11.2025;CET;01:30;01:45;MW;26,967;28,281;19,082;7,161;81,491;1,487;0,183;0,676;0,356;2,702;0
01.11.2025;CET;01:45;02:00;MW;85,059;80,726;55,612;37,653;259,05;0,158;0,009;1,033;0,327;1,527;0
01.11.2025;CET;02:00;02:15;MW;28,379;6,095;32,728;6,852;74,054;1,267;0,239;1,368;2,444;5,318;0
01.11.2025;CET;02:15;02:30;MW;1,276;0,005;0,633;0,062;1,976;4,239;1,122;2,358;1,336;9,055;0
01.11.2025;CET;02:30;02:45;MW;4,131;1,459;24,572;12,85;43,012;0,187;0,099;0,818;1,426;2,53;0
01.11.2025;CET;02:45;03:00;MW;47,395;40,93;65,394;86,084;239,803;0,048;0,047;0,577;0,491;1,163;0
01.11.2025;CET;03:00;03:15;MW;57,025;33,453;45,799;98,436;234,713;0;0,047;0,933;0,429;1,409;0
01.11.2025;CET;03:15;03:30;MW;48,04;15,15;33,247;13,817;110,254;0,599;0,21;0,858;1,097;2,764;0
01.11.2025;CET;03:30;03:45;MW;46,176;15,142;49,101;64,339;174,758;0,346;0,014;0,61;0,057;1,027;0
01.11.2025;CET;03:45;04:00;MW;9,395;0,534;3,653;6,944;20,526;1,656;0,462;0,698;0,377;3,193;0
01.11.2025;CET;04:00;04:15;MW;3,867;33,395;16,459;69,826;123,547;0,059;0,16;0,813;0,55;1,582;0
01.11.2025;CET;04:15;04:30;MW;1,063;10,046;13,669;5,367;30,145;0,059;0,107;0,656;1,68;2,502;0
01.11.2025;CET;04:30;04:45;MW;0,674;1,42;6,948;2,547;11,589;0,049;0,417;0,643;1,335;2,444;0
01.11.2025;CET;04:45;05:00;MW;0,05;0,033;0,606;1,338;2,027;3,29;1,054;7,077;1,641;13,062;0
01.11.2025;CET;05:00;05:15;MW;1,444;0,958;11,854;2,225;16,481;4,27;0,937;6,032;5,209;16,448;0
01.11.2025;CET;05:15;05:30;MW;0,359;0;0,455;0,652;1,466;2,234;1,667;3,88;1,567;9,348;0
01.11.2025;CET;05:30;05:45;MW;4,376;12,641;16,312;15,564;48,893;0,004;0,269;1,468;0,078;1,819;0
01.11.2025;CET;05:45;06:00;MW;3,417;19,348;32,437;15,793;70,995;0,092;0,088;1,63;0,751;2,561;0
01.11.2025;CET;06:00;06:15;MW;3,545;39,449;31,962;42,544;117,5;1,488;0,039;3,206;0,686;5,419;0
01.11.2025;CET;06:15;06:30;MW;1,072;0,767;14,04;3,9;19,779;6,306;0,521;5,191;1,921;13,939;0
01.11.2025;CET;06:30;06:45;MW;1,037;0,355;2,809;1,571;5,772;10,231;1,528;11,131;2,601;25,491;0
