"Delivery Period (CET/CEST)","Area","Reserve Type","Time Horizon","Source","Type of product","Procurement Date & Time (CET/CEST)","Instance Code","ISP (CET/CEST)","Volume (MW)","Price (EUR)","Price Type","Direction"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 00:00 - 08/11/2025 00:15","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 00:15 - 08/11/2025 00:30","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 00:30 - 08/11/2025 00:45","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 00:45 - 08/11/2025 01:00","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 01:00 - 08/11/2025 01:15","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 01:15 - 08/11/2025 01:30","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 01:30 - 08/11/2025 01:45","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 01:45 - 08/11/2025 02:00","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 02:00 - 08/11/2025 02:15","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 02:15 - 08/11/2025 02:30","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 02:30 - 08/11/2025 02:45","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 02:45 - 08/11/2025 03:00","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 03:00 - 08/11/2025 03:15","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 03:15 - 08/11/2025 03:30","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 03:30 - 08/11/2025 03:45","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 03:45 - 08/11/2025 04:00","143.00","1.19","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 04:00 - 08/11/2025 04:15","103.00","2.51","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 04:15 - 08/11/2025 04:30","103.00","2.51","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 04:30 - 08/11/2025 04:45","103.00","2.51","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 04:45 - 08/11/2025 05:00","103.00","2.51","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 05:00 - 08/11/2025 05:15","103.00","2.51","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 05:15 - 08/11/2025 05:30","103.00","2.51","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 05:30 - 08/11/2025 05:45","103.00","2.51","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 05:45 - 08/11/2025 06:00","103.00","2.51","Marginal","Symmetric"
"08/11/2025 00:00 - 09/11/2025 00:00","SCA|DE(TenneT GER)","FCR","Daily","Generation","Standard","2025-11-07T07:00:00Z","dbec550e53965112596968c9b513bd7c","08/11/2025 06:00 - 08/11/2025 06:15","103.00","2.51","Marginal","Symmetric"
