;aFRR_Pos_Arbeitspreis;aFRR_Neg_Arbeitspreis;FCR_Leistungspreis;aFRR_Neg_Leistungspreis;aFRR_Pos_Leistungspreis;FCR_Capacity;aFRR_Neg_Capacity;aFRR_Pos_Capacity;aFRR_Activation_Pos_MW;aFRR_Activation_Neg_MW;aFRR_Activation_Pos;aFRR_Activation_Neg;Spotmarkt_Preis
2025-11-01 00:00:00;98,30308219178082;34,449753086419754;2,09;2,48;1,27;102,0;459,0;268,0;28,775;9,933;0,10736940298507462;0,021640522875816994;63,5
2025-11-01 00:15:00;113,56577777777777;0,0;2,09;2,48;1,27;102,0;459,0;268,0;69,467;1,32;0,259205223880597;0,0028758169934640526;53,67
2025-11-01 00:30:00;110,2912;0,0;2,09;2,48;1,27;102,0;459,0;268,0;84,291;0,946;0,3145186567164179;0,0020610021786492375;52,37
2025-11-01 00:45:00;113,12973333333333;0,0;2,09;2,48;1,27;102,0;459,0;268,0;60,468;1,062;0,2256268656716418;0,0023137254901960786;49,29
2025-11-01 01:00:00;101,06008888888888;0,0;2,09;2,48;1,27;102,0;459,0;268,0;74,045;0,652;0,2762873134328358;0,001420479302832244;52,32
2025-11-01 01:15:00;99,42404444444445;0,0;2,09;2,48;1,27;102,0;459,0;268,0;72,971;0,781;0,27227985074626865;0,001701525054466231;44,57
2025-11-01 01:30:00;58,29049107142857;70,82615384615384;2,09;2,48;1,27;102,0;459,0;268,0;19,082;0,676;0,07120149253731343;0,0014727668845315905;32,23
2025-11-01 01:45:00;90,38137777777779;96,12769230769231;2,09;2,48;1,27;102,0;459,0;268,0;55,612;1,033;0,20750746268656717;0,002250544662309368;23,34
2025-11-01 02:00:00;72,68747572815535;79,01954545454545;2,09;2,48;1,27;102,0;459,0;268,0;32,728;1,368;0,12211940298507463;0,002980392156862745;29,31
2025-11-01 02:15:00;34,385617283950616;81,12883116883117;2,09;2,48;1,27;102,0;459,0;268,0;0,633;2,358;0,0023619402985074625;0,005137254901960785;24,13
2025-11-01 02:30:00;66,20058035714285;60,1025;2,09;2,48;1,27;102,0;459,0;268,0;24,572;0,818;0,0916865671641791;0,0017821350762527231;33,96
2025-11-01 02:45:00;99,49206278026905;77,275;2,09;2,48;1,27;102,0;459,0;268,0;65,394;0,577;0,24400746268656717;0,0012570806100217864;25,69
2025-11-01 03:00:00;101,05715555555555;0,0;2,09;2,48;1,27;102,0;459,0;268,0;45,799;0,933;0,17089179104477611;0,0020326797385620916;50,25
2025-11-01 03:15:00;86,67017777777778;85,56;2,09;2,48;1,27;102,0;459,0;268,0;33,247;0,858;0,12405597014925374;0,001869281045751634;31,33
2025-11-01 03:30:00;89,96754464285713;53,37894736842105;2,09;2,48;1,27;102,0;459,0;268,0;49,101;0,61;0,18321268656716416;0,0013289760348583878;20,09
2025-11-01 03:45:00;57,0336;0,0;2,09;2,48;1,27;102,0;459,0;268,0;3,653;0,698;0,013630597014925373;0,0015206971677559913;18,16
2025-11-01 04:00:00;89,23963636363636;63,89202898550725;2,13;2,46;2,06;124,0;450,0;234,0;16,459;0,813;0,07033760683760684;0,0018066666666666665;21,17
2025-11-01 04:15:00;85,90147321428572;86,354;2,13;2,46;2,06;124,0;450,0;234,0;13,669;0,656;0,05841452991452992;0,0014577777777777779;22,48
2025-11-01 04:30:00;51,62244444444444;69,52347826086957;2,13;2,46;2,06;124,0;450,0;234,0;6,948;0,643;0,029692307692307695;0,0014288888888888888;20,44
