class,Sink,Source,Source,LinearTransformer,LinearTransformer
label,demand1,solar1,wind1,chp1,chp1
source,bus_el1,solar1,wind1,chp1,chp1
target,demand1,bus_el1,bus_el1,bus_el1,bus_th1
attribute,actual_value,actual_value,actual_value,max,max
,0.3306490971,0,0.7642424825,0.97,0.99
,0.3111273792,0,0.7700067249,0.97,0.99
,0.282454856,0,0.7389758863,0.97,0.99
,0.2619570522,0,0.650879047,0.97,0.99
,0.2504880429,0,0.5867998847,0.97,0.99
,0.2445705222,0,0.5391488135,0.97,0.99
,0.2358467545,0,0.4888077625,0.97,0.99
,0.2478038067,0,0.4170429436,0.97,0.99
,0.2651293314,0.0106528847,0.3688154482,0.97,0.99
,0.2925817472,0.0602257146,0.3237582861,0.97,0.99
,0.3237554905,0.1240375488,0.2916706696,0.97,0.99
,0.3643850659,0.1632739163,0.278701124,0.97,0.99
,0.3838457784,0.1850015821,0.2559323662,0.97,0.99
,0.3884821864,0.1543086172,0.2409453358,0.97,0.99
,0.3980600293,0.0952431178,0.2341243155,0.97,0.99
,0.4233162518,0.0352283514,0.248438851,0.97,0.99
,0.4796242069,0.002953275,0.2527620329,0.97,0.99
,0.5263543192,0,0.2665962148,0.97,0.99
,0.53477306,0,0.2947449323,0.97,0.99
,0.5087237677,0,0.3254875588,0.97,0.99
,0.4717545144,0,0.3712172159,0.97,0.99
,0.4365544168,0,0.4033048324,0.97,0.99
,0.435761347,0,0.4214621962,0.97,0.99
,0.3867740361,0,0.4375060044,0.97,0.99
,0.3473645681,0,0.4562397925,0.97,0.99
