timestep,demand_th,demand_el,pv,wind,temperature
1,0.1469452338,47823,0.00E+000,2.78E-001,-0.2
2,0.1500444621,47823,0.00E+000,2.81E-001,-0.1
3,0.1569258683,43444,0.00E+000,2.83E-001,0.1
4,0.1740503842,41432,0.00E+000,2.83E-001,-0.1
5,0.2175136794,40508,0.00E+000,2.52E-001,-0.1
6,0.2993166845,38865,0.00E+000,1.86E-001,-0.1
7,0.3541620446,35817,0.00E+000,1.86E-001,0.1
8,0.3316082816,35555,0.00E+000,1.85E-001,0.4
9,0.3062301219,36263,9.10E-003,1.85E-001,0.8
10,0.2851263663,38569,3.64E-002,1.85E-001,1.3
11,0.2630026701,41078,5.71E-002,5.14E-001,1.4
12,0.2502968704,44206,7.61E-002,5.14E-001,2.0
13,0.2435902264,45108,3.47E-002,5.13E-001,2.6
14,0.2437331516,44216,2.73E-002,6.53E-001,2.5
15,0.246778243,43870,2.07E-002,7.88E-001,2.4
16,0.2542671496,43922,4.96E-003,7.87E-001,2.4
17,0.2675343843,46880,0.00E+000,9.32E-001,2.4
18,0.2856671632,51673,0.00E+000,9.90E-001,2.5
19,0.297276272,52934,0.00E+000,8.73E-001,2.4
20,0.2837494791,52123,0.00E+000,9.30E-001,2.6
21,0.2626769986,50288,0.00E+000,9.29E-001,2.5
22,0.2184679538,50209,0.00E+000,9.88E-001,2.6
23,0.1507227637,51361,0.00E+000,1.00E+000,3.2
24,0.1441735159,48050,0.00E+000,9.27E-001,3.4
25,0.1727600376,44990,0.00E+000,9.84E-001,3.7
26,0.1774486003,43319,0.00E+000,9.95E-001,3.7
27,0.1849768878,42327,0.00E+000,9.81E-001,3.8
28,0.198377213,41921,0.00E+000,9.68E-001,4.0
29,0.2334336342,42697,0.00E+000,9.96E-001,4.1
30,0.3090781543,44602,0.00E+000,8.68E-001,4.5
31,0.3621553123,48751,0.00E+000,8.69E-001,4.6
32,0.3496276187,55363,0.00E+000,6.46E-001,4.5
33,0.3293109494,59779,3.73E-002,6.48E-001,4.4
34,0.3112578832,62054,2.07E-001,5.09E-001,3.7
35,0.2890211734,63978,2.94E-001,1.82E-001,4.4
36,0.2756799032,65766,4.76E-001,3.26E-001,4.2
37,0.2672108186,65965,4.06E-001,3.27E-001,3.7
38,0.2659853869,65178,5.58E-001,1.84E-001,3.8
39,0.2701684451,64080,5.03E-002,1.85E-001,3.5
40,0.2793290922,63669,1.43E-002,1.86E-001,2.3
41,0.2895400515,64871,0.00E+000,2.96E-002,0.9
42,0.3060718235,67751,0.00E+000,4.97E-003,-0.2
43,0.3194935864,65494,0.00E+000,5.00E-003,-0.8
44,0.308095897,65395,0.00E+000,5.02E-003,-1.2
45,0.2873532149,61546,0.00E+000,5.02E-003,-1.7
46,0.2461959584,59784,0.00E+000,3.00E-002,-2.2
47,0.1766938357,59486,0.00E+000,3.00E-002,-2.5
48,0.1696068341,54916,0.00E+000,5.05E-003,-2.8
49,0.1655940671,51829,0.00E+000,5.05E-003,-3.2
50,0.1700881514,49637,0.00E+000,5.07E-003,-3.4
51,0.1773041705,48680,0.00E+000,5.07E-003,-3.7
52,0.1901486592,48487,0.00E+000,5.09E-003,-4.0
53,0.2237509635,48975,0.00E+000,1.47E-004,-4.2
54,0.2962577996,49969,0.00E+000,5.10E-003,-4.2
55,0.3471333528,53502,0.00E+000,5.10E-003,-4.2
56,0.3351252995,59379,0.00E+000,5.10E-003,-4.2
57,0.315651352,62764,3.90E-002,3.04E-002,-4.2
58,0.2983471149,64240,2.22E-001,5.08E-003,-3.7
59,0.2770327689,65613,3.82E-001,5.06E-003,-2.6
60,0.2642448856,66924,4.67E-001,8.37E-002,-1.6
61,0.256127093,66890,3.21E-001,2.99E-002,-1.4
62,0.2549524913,65817,5.31E-001,3.00E-002,-1.0
63,0.2589620391,64798,5.25E-002,3.00E-002,-1.0
64,0.2677427087,64358,2.34E-002,5.05E-003,-1.3
65,0.2775301242,65730,0.00E+000,5.07E-003,-1.7
66,0.2933761694,68930,0.00E+000,5.10E-003,-2.1
67,0.3062412067,68462,0.00E+000,3.05E-002,-2.3
68,0.2953162858,66270,0.00E+000,3.06E-002,-3.1
69,0.2754339962,62782,0.00E+000,3.06E-002,-3.6
70,0.2359839151,60977,0.00E+000,3.07E-002,-4.1
71,0.1693646938,60251,0.00E+000,3.07E-002,-4.6
72,0.1625716563,56239,0.00E+000,3.08E-002,-5.0
73,0.1655940671,52859,0.00E+000,3.08E-002,-5.4
74,0.1700881514,50821,0.00E+000,3.09E-002,-5.8
75,0.1773041705,49464,0.00E+000,8.60E-002,-6.3
76,0.1901486592,49190,0.00E+000,8.61E-002,-6.6
77,0.2237509635,49824,0.00E+000,8.61E-002,-6.9
78,0.2962577996,50895,0.00E+000,8.62E-002,-7.1
79,0.3471333528,54410,0.00E+000,3.10E-002,-7.2
80,0.3351252995,60466,0.00E+000,8.63E-002,-7.5
81,0.315651352,63306,5.40E-002,5.21E-003,-7.8
82,0.2983471149,64676,2.42E-001,1.50E-004,-7.2
83,0.2770327689,66058,4.19E-001,1.49E-004,-5.9
84,0.2642448856,67349,5.21E-001,1.47E-004,-4.1
