Demand,SolarGen
4.22474,0
4.45403,0
5.3011,0
3.16906,0
10.03151,0
13.2778,0
19.24819,0.102
17.00729,0.31
16.53521,0.484
19.5529,0.627
23.8912,0.691
25.88103,0.705
23.11513,0.666
20.05156,0.584
20.22608,0.452
22.63168,0.272
31.45385,0.075
43.30997,0
45.99877,0
69.80705,0
47.07643,0
25.4737,0
11.59541,0
5.23135,0
5.02319,0
3.32235,0
3.7696,0
4.62483,0
9.43047,0
13.53437,0
17.93359,0.081
18.31902,0.262
14.79921,0.426
23.49871,0.511
18.50075,0.594
23.06378,0.632
23.47799,0.632
18.15995,0.555
24.54657,0.426
27.33855,0.259
29.81535,0.074
43.87063,0
48.51107,0
73.68254,0
42.12253,0
18.66909,0
12.64807,0
6.19575,0
5.09342,0
4.18958,0
5.23064,0
5.67486,0
11.11339,0
13.291,0
22.87269,0.108
17.22755,0.313
18.99219,0.485
19.45546,0.624
26.53453,0.692
27.89729,0.707
24.02282,0.668
23.67693,0.59
26.78275,0.463
25.48228,0.286
34.94128,0.084
53.36549,0
61.26902,0
67.07315,0
59.52776,0
28.99028,0
16.58011,0
5.36034,0
4.7385,0
3.83916,0
3.05115,0
3.73534,0
7.21331,0
10.76435,0
15.6995,0.106
13.15778,0.303
16.68943,0.479
17.99258,0.619
19.53466,0.685
19.8237,0.697
20.22261,0.661
14.19591,0.563
19.64475,0.44
17.82306,0.272
22.66842,0.08
31.80033,0
38.56134,0
46.8676,0
37.57283,0
20.03321,0
10.47946,0
5.45584,0
5.0287,0
4.93321,0
4.58769,0
5.13002,0
11.05986,0
14.81571,0
19.69291,0.109
14.89649,0.319
17.81056,0.493
20.46611,0.62
22.65619,0.686
22.4139,0.703
26.20481,0.661
20.73495,0.583
25.38399,0.453
22.7326,0.274
30.63317,0.076
35.20841,0
64.42321,0
74.74342,0
47.80456,0
23.97433,0
14.37736,0
5.71425,0
4.26995,0
5.05298,0
4.51067,0
4.69231,0
10.36802,0
13.62933,0
20.37952,0.105
15.31292,0.314
16.6966,0.49
20.16643,0.638
27.43088,0.7
23.0167,0.714
22.84244,0.675
21.51039,0.596
21.19772,0.466
20.21964,0.287
30.39236,0.083
45.38985,0
68.50704,0
64.03693,0
56.474,0
27.47291,0
13.10015,0
5.69868,0
3.75114,0
4.73138,0
3.75075,0
3.85098,0
8.39239,0
12.01005,0
16.57572,0.128
13.64969,0.345
16.92931,0.518
16.18982,0.635
21.117,0.699
18.98579,0.714
22.38616,0.676
21.0621,0.599
19.97967,0.472
19.40516,0.286
25.79622,0.083
36.65529,0
51.50643,0
57.13331,0
41.56129,0
21.39163,0
11.94513,0
5.51807,0
4.60647,0
3.84783,0
4.52635,0
4.5976,0
13.42174,0
12.47641,0
19.50874,0.131
15.90901,0.35
17.58157,0.523
23.58609,0.646
21.86183,0.707
26.98045,0.72
25.5118,0.682
27.77952,0.599
21.29681,0.461
20.97275,0.276
31.52303,0.079
43.87461,0
70.53776,0
77.01289,0
59.59741,0
26.36914,0
