demand_th,demand_el,pv,wind
0.1469452338,0.6137606201,0.00E+000,2.78E-001
0.1500444621,0.6137606201,0.00E+000,2.81E-001
0.1569258683,0.5575605123,0.00E+000,2.83E-001
0.1740503842,0.5317384943,0.00E+000,2.83E-001
0.2175136794,0.5198798737,0.00E+000,2.52E-001
0.2993166845,0.4987936035,0.00E+000,1.86E-001
0.3541620446,0.4596755564,0.00E+000,1.86E-001
0.3316082816,0.456313047,0.00E+000,1.85E-001
0.3062301219,0.4653995226,9.10E-003,1.85E-001
0.2851263663,0.4949947381,3.64E-002,1.85E-001
0.2630026701,0.5271952566,5.71E-002,5.14E-001
0.2502968704,0.5673400241,7.61E-002,5.14E-001
0.2435902264,0.5789162966,3.47E-002,5.13E-001
0.2437331516,0.5674683642,2.73E-002,6.53E-001
0.246778243,0.5630277985,2.07E-002,7.88E-001
0.2542671496,0.5636951667,4.96E-003,7.87E-001
0.2675343843,0.6016581534,0.00E+000,9.32E-001
0.2856671632,0.6631715393,0.00E+000,9.90E-001
0.297276272,0.6793552196,0.00E+000,8.73E-001
0.2837494791,0.6689468416,0.00E+000,9.30E-001
0.2626769986,0.6453964424,0.00E+000,9.29E-001
0.2184679538,0.644382556,0.00E+000,9.88E-001
0.1507227637,0.6591673298,0.00E+000,1.00E+000
0.1441735159,0.6166739393,0.00E+000,9.27E-001
0.1727600376,0.577401884,0.00E+000,9.84E-001
0.1774486003,0.5559562617,0.00E+000,9.95E-001
0.1849768878,0.5432249288,0.00E+000,9.81E-001
0.198377213,0.5380143227,0.00E+000,9.68E-001
0.2334336342,0.5479735106,0.00E+000,9.96E-001
0.3090781543,0.5724222901,0.00E+000,8.68E-001
0.3621553123,0.6256705768,0.00E+000,8.69E-001
0.3496276187,0.7105290177,0.00E+000,6.46E-001
0.3293109494,0.7672039837,3.73E-002,6.48E-001
0.3112578832,0.796401345,2.07E-001,5.09E-001
0.2890211734,0.8210939706,2.94E-001,1.82E-001
0.2756799032,0.8440411715,4.76E-001,3.26E-001
0.2672108186,0.8465951385,4.06E-001,3.27E-001
0.2659853869,0.8364947766,5.58E-001,1.84E-001
0.2701684451,0.8224030391,5.03E-002,1.85E-001
0.2793290922,0.817128263,1.43E-002,1.86E-001
0.2895400515,0.832554737,0.00E+000,2.96E-002
0.3060718235,0.8695166714,0.00E+000,4.97E-003
0.3194935864,0.8405503221,0.00E+000,5.00E-003
0.308095897,0.8392797556,0.00E+000,5.02E-003
0.2873532149,0.7898816705,0.00E+000,5.02E-003
0.2461959584,0.7672681537,0.00E+000,3.00E-002
0.1766938357,0.7634436202,0.00E+000,3.00E-002
0.1696068341,0.7047922175,0.00E+000,5.05E-003
0.1655940671,0.6651736441,0.00E+000,5.05E-003
0.1700881514,0.6370415052,0.00E+000,5.07E-003
0.1773041705,0.6247593624,0.00E+000,5.07E-003
0.1901486592,0.6222823994,0.00E+000,5.09E-003
0.2237509635,0.6285453939,0.00E+000,1.47E-004
0.2962577996,0.6413023948,0.00E+000,5.10E-003
0.3471333528,0.6866449344,0.00E+000,5.10E-003
0.3351252995,0.7620703817,0.00E+000,5.10E-003
0.315651352,0.8055134885,3.90E-002,3.04E-002
