class,Sink,Source,Source
label,REGION1_load,REGION1_solar,REGION1_wind
source,REGION1_bus_el,REGION1_solar,REGION1_wind
target,REGION1_load,REGION1_bus_el,REGION1_bus_el
attribute,actual_value,actual_value,actual_value
2014-01-01 00:00:00+00:00,0.6469870328,0,0.471387
2014-01-01 01:00:00+00:00,0.6099923722,0,0.485642
2014-01-01 02:00:00+00:00,0.5798627002,0,0.513238
2014-01-01 03:00:00+00:00,0.5667429443,0,0.538213
2014-01-01 04:00:00+00:00,0.5648360031,0,0.560754
2014-01-01 05:00:00+00:00,0.5677345538,0,0.581541
2014-01-01 06:00:00+00:00,0.5508009153,0,0.599661
2014-01-01 07:00:00+00:00,0.5524790236,0,0.617699
2014-01-01 08:00:00+00:00,0.5626239512,0.014667,0.63469
2014-01-01 09:00:00+00:00,0.5900076278,0.039025,0.634074
2014-01-01 10:00:00+00:00,0.6180778032,0.054165,0.639251
2014-01-01 11:00:00+00:00,0.6352402746,0.081967,0.663447
2014-01-01 12:00:00+00:00,0.6365369947,0.063554,0.700532
2014-01-01 13:00:00+00:00,0.6263920671,0.067033,0.741896
2014-01-01 14:00:00+00:00,0.623798627,0.033319,0.780965
2014-01-01 15:00:00+00:00,0.6329519451,0.000353,0.819513
2014-01-01 16:00:00+00:00,0.6797101449,0,0.850066
2014-01-01 17:00:00+00:00,0.6954996186,0,0.869765
2014-01-01 18:00:00+00:00,0.6902364607,0,0.881992
2014-01-01 19:00:00+00:00,0.6742181541,0,0.888123
2014-01-01 20:00:00+00:00,0.6568268497,0,0.892521
2014-01-01 21:00:00+00:00,0.6885583524,0,0.892849
2014-01-01 22:00:00+00:00,0.6890160183,0,0.893323
2014-01-01 23:00:00+00:00,0.6370709382,0,0.892873
2014-01-02 00:00:00+00:00,0.5998474447,0,0.88784
2014-01-02 01:00:00+00:00,0.5697177727,0,0.875233
2014-01-02 02:00:00+00:00,0.5523264683,0,0.856004
2014-01-02 03:00:00+00:00,0.5561403509,0,0.835357
2014-01-02 04:00:00+00:00,0.5864988558,0,0.808757
2014-01-02 05:00:00+00:00,0.6464530892,0,0.771655
2014-01-02 06:00:00+00:00,0.6903127384,0,0.723361
2014-01-02 07:00:00+00:00,0.7389016018,0,0.668313
2014-01-02 08:00:00+00:00,0.7736842105,0.010935,0.615198
2014-01-02 09:00:00+00:00,0.7875667429,0.041516,0.587902
2014-01-02 10:00:00+00:00,0.8012204424,0.071847,0.573421
2014-01-02 11:00:00+00:00,0.8003051106,0.089927,0.564891
2014-01-02 12:00:00+00:00,0.7961098398,0.088087,0.555041
2014-01-02 13:00:00+00:00,0.7852021358,0.079295,0.54164
2014-01-02 14:00:00+00:00,0.7901601831,0.04386,0.513894
2014-01-02 15:00:00+00:00,0.7986270023,0.003248,0.492417
2014-01-02 16:00:00+00:00,0.8578947368,0,0.492069
2014-01-02 17:00:00+00:00,0.8617086194,0,0.506834
2014-01-02 18:00:00+00:00,0.8293668955,0,0.525441
2014-01-02 19:00:00+00:00,0.7881769641,0,0.55086
2014-01-02 20:00:00+00:00,0.7526315789,0,0.585451
2014-01-02 21:00:00+00:00,0.7760488177,0,0.607554
2014-01-02 22:00:00+00:00,0.7712433257,0,0.624285
2014-01-02 23:00:00+00:00,0.7148741419,0,0.649734
2014-01-03 00:00:00+00:00,0.6620900076,0,0.68835
2014-01-03 01:00:00+00:00,0.6398169336,0,0.728899
2014-01-03 02:00:00+00:00,0.6198321892,0,0.762691
2014-01-03 03:00:00+00:00,0.622273074,0,0.786521
2014-01-03 04:00:00+00:00,0.6490465294,0,0.79833
2014-01-03 05:00:00+00:00,0.7046529367,0,0.791267
2014-01-03 06:00:00+00:00,0.7476735317,0,0.773432
2014-01-03 07:00:00+00:00,0.793668955,0,0.74372
2014-01-03 08:00:00+00:00,0.81266209,0.008055,0.729327
2014-01-03 09:00:00+00:00,0.8157894737,0.043209,0.73222
2014-01-03 10:00:00+00:00,0.8196033562,0.109017,0.760158
2014-01-03 11:00:00+00:00,0.8182303585,0.181965,0.790218
2014-01-03 12:00:00+00:00,0.8089244851,0.180842,0.81486
2014-01-03 13:00:00+00:00,0.7945842868,0.121805,0.833522
2014-01-03 14:00:00+00:00,0.7924485126,0.060623,0.848818
2014-01-03 15:00:00+00:00,0.8101449275,0.003636,0.856442
2014-01-03 16:00:00+00:00,0.8644546148,0,0.86095
2014-01-03 17:00:00+00:00,0.8638443936,0,0.864746
2014-01-03 18:00:00+00:00,0.8347826087,0,0.864849
2014-01-03 19:00:00+00:00,0.7945842868,0,0.861498
2014-01-03 20:00:00+00:00,0.7555301297,0,0.858029
2014-01-03 21:00:00+00:00,0.7766590389,0,0.856342
2014-01-03 22:00:00+00:00,0.7768878719,0,0.848625
2014-01-03 23:00:00+00:00,0.722273074,0,0.830711
2014-01-04 00:00:00+00:00,0.6755911518,0,0.795586
2014-01-04 01:00:00+00:00,0.6401983219,0,0.733248
2014-01-04 02:00:00+00:00,0.6256292906,0,0.648742
2014-01-04 03:00:00+00:00,0.6196796339,0,0.569096
2014-01-04 04:00:00+00:00,0.619221968,0,0.510583
2014-01-04 05:00:00+00:00,0.6405797101,0,0.492685
2014-01-04 06:00:00+00:00,0.6568268497,0,0.521671
2014-01-04 07:00:00+00:00,0.6988558352,0,0.575323
