class,Sink,Source,Source,Sink,Source,Source
label,R1_load,R1_solar,R1_wind,R2_load,R2_solar,R2_wind
source,R1_bus_el,R1_solar,R1_wind,R2_bus_el,R2_solar,R2_wind
target,R1_load,R1_bus_el,R1_bus_el,R2_load,R2_bus_el,R2_bus_el
attribute,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value
,0.5590619824,0,0.315569,0.6469870328,0,0.471387
,0.5336064859,0,0.311572,0.6099923722,0,0.485642
,0.5060587569,0,0.304005,0.5798627002,0,0.513238
,0.504140877,0,0.282872,0.5667429443,0,0.538213
,0.5071048732,0,0.25397,0.5648360031,0,0.560754
,0.5113765147,0,0.224077,0.5677345538,0,0.581541
,0.5418010636,0,0.19358,0.5508009153,0,0.599661
,0.5692616162,0.065722,0.159925,0.5524790236,0,0.617699
,0.6029988667,0.206962,0.127115,0.5626239512,0.014667,0.63469
,0.6290645977,0.330638,0.117491,0.5900076278,0.039025,0.634074
,0.6346438846,0.403131,0.115909,0.6180778032,0.054165,0.639251
,0.6150292041,0.411138,0.104524,0.6352402746,0.081967,0.663447
,0.6057885102,0.367118,0.090434,0.6365369947,0.063554,0.700532
,0.5947171127,0.268577,0.084694,0.6263920671,0.067033,0.741896
,0.6072705082,0.112434,0.11591,0.623798627,0.033319,0.780965
,0.6806730015,0.002041,0.161279,0.6329519451,0.000353,0.819513
,0.708830965,0,0.188771,0.6797101449,0,0.850066
,0.7070002615,0,0.204966,0.6954996186,0,0.869765
,0.6811960596,0,0.216057,0.6902364607,0,0.881992
,0.6406590533,0,0.225119,0.6742181541,0,0.888123
,0.6097986226,0,0.233534,0.6568268497,0,0.892521
,0.6159009677,0,0.262063,0.6885583524,0,0.892849
,0.5671693837,0,0.305065,0.6890160183,0,0.893323
,0.5359602476,0,0.355796,0.6370709382,0,0.892873
,0.5163455671,0,0.408281,0.5998474447,0,0.88784
,0.5034434661,0,0.450823,0.5697177727,0,0.875233
,0.4982128847,0,0.484929,0.5523264683,0,0.856004
,0.519483916,0,0.52013,0.5561403509,0,0.835357
,0.5817278354,0,0.566966,0.5864988558,0,0.808757
,0.6566123267,0,0.61004,0.6464530892,0,0.771655
,0.7317583471,0,0.642484,0.6903127384,0,0.723361
,0.7625316014,0.024076,0.665305,0.7389016018,0,0.668313
,0.7838026327,0.102765,0.67224,0.7736842105,0.010935,0.615198
,0.7953970883,0.194915,0.648874,0.7875667429,0.041516,0.587902
,0.7907767413,0.267827,0.610417,0.8012204424,0.071847,0.573421
,0.7687211228,0.268375,0.569487,0.8003051106,0.089927,0.564891
,0.760962427,0.202304,0.507579,0.7961098398,0.088087,0.555041
,0.7528550257,0.109901,0.437139,0.7852021358,0.079295,0.54164
,0.7663673612,0.031894,0.386878,0.7901601831,0.04386,0.513894
,0.8251242263,0.000307,0.355764,0.7986270023,0.003248,0.492417
,0.8388980908,0,0.329259,0.8578947368,0,0.492069
,0.8151861215,0,0.306439,0.8617086194,0,0.506834
,0.7600906634,0,0.28724,0.8293668955,0,0.525441
,0.7054310871,0,0.262898,0.7881769641,0,0.55086
,0.6626274954,0,0.234534,0.7526315789,0,0.585451
,0.6560892686,0,0.212605,0.7760488177,0,0.607554
,0.6046552175,0,0.190331,0.7712433257,0,0.624285
,0.569435969,0,0.172295,0.7148741419,0,0.649734
,0.541190829,0,0.165384,0.6620900076,0,0.68835
,0.5312527243,0,0.16465,0.6398169336,0,0.728899
,0.5216633249,0,0.160769,0.6198321892,0,0.762691
,0.5441548252,0,0.152721,0.622273074,0,0.786521
,0.602824514,0,0.140034,0.6490465294,0,0.79833
,0.6753552437,0,0.127357,0.7046529367,0,0.791267
,0.7450091535,0,0.123194,0.7476735317,0,0.773432
,0.777525935,0.078187,0.128808,0.793668955,0,0.74372
,0.79679191,0.195169,0.133742,0.81266209,0.008055,0.729327
,0.7995815535,0.305888,0.130555,0.8157894737,0.043209,0.73222
,0.8000174353,0.368826,0.14512,0.8196033562,0.109017,0.760158
,0.7712492372,0.362952,0.178117,0.8182303585,0.181965,0.790218
,0.7549472583,0.294147,0.21425,0.8089244851,0.180842,0.81486
,0.7488449133,0.169365,0.252614,0.7945842868,0.121805,0.833522
,0.7550344347,0.053464,0.30002,0.7924485126,0.060623,0.848818
,0.8174527068,0.000717,0.340859,0.8101449275,0.003636,0.856442
,0.8424723215,0,0.353151,0.8644546148,0,0.86095
,0.8266934007,0,0.346131,0.8638443936,0,0.864746
,0.7749978206,0,0.326458,0.8347826087,0,0.864849
,0.7112719031,0,0.298912,0.7945842868,0,0.861498
,0.6664632552,0,0.271453,0.7555301297,0,0.858029
,0.6674221951,0,0.264069,0.7766590389,0,0.856342
,0.6144189696,0,0.255704,0.7768878719,0,0.848625
,0.5784151338,0,0.239658,0.722273074,0,0.830711
,0.5502571703,0,0.223974,0.6755911518,0,0.795586
,0.5316014297,0,0.206808,0.6401983219,0,0.733248
,0.5175660361,0,0.183956,0.6256292906,0,0.648742
,0.5325603696,0,0.158257,0.6196796339,0,0.569096
,0.5622003313,0,0.123656,0.619221968,0,0.510583
,0.6008194578,0,0.091714,0.6405797101,0,0.492685
,0.6614070264,0,0.068078,0.6568268497,0,0.521671
,0.7072617906,0.019403,0.054547,0.6988558352,0,0.575323
,0.7404759829,0.058531,0.057944,0.7317315027,0.011832,0.629822
,0.7552087874,0.084818,0.081962,0.755682685,0.040965,0.668978
,0.7618341906,0.096619,0.121296,0.7788710908,0.051689,0.701443
,0.7376863395,0.091739,0.174995,0.782532418,0.051803,0.717585
,0.7230407114,0.074938,0.258907,0.7758199847,0.048572,0.710237
,0.7116206085,0.045423,0.383407,0.7560640732,0.032079,0.679238
,0.7189434225,0.011641,0.526931,0.7483600305,0.011731,0.64236
,0.7641007759,0,0.657339,0.7595728452,0.000461,0.617969
,0.7744747624,0,0.748305,0.8145690313,0,0.593664
,0.7392555139,0,0.806185,0.8242562929,0,0.549861
,0.709789905,0,0.834782,0.7978642258,0,0.493426
,0.6621916136,0,0.845516,0.7613272311,0,0.430227
,0.623049429,0,0.845993,0.7269260107,0,0.378202
,0.6261006015,0,0.841387,0.7399694889,0,0.345239
,0.5721384361,0,0.834216,0.7394355454,0,0.327861
,0.5349141313,0,0.814939,0.6940503432,0,0.339776
,0.5000435882,0,0.787758,0.6531655225,0,0.372849
,0.4879260744,0,0.755493,0.6203661327,0,0.396244
,0.4773777352,0,0.71703,0.606331045,0,0.406719
,0.4857466655,0,0.660792,0.6029748284,0,0.385187
,0.5025717026,0,0.591239,0.6029748284,0,0.358187
,0.5261093192,0,0.524566,0.617696415,0,0.339712
,0.5735332578,0,0.462304,0.6196033562,0,0.31752
,0.6129369715,0.00554,0.386052,0.6491990847,0,0.285766
,0.659837852,0.02643,0.297422,0.6758962624,0.016239,0.257438
,0.6950571005,0.04573,0.222324,0.7056445461,0.049338,0.233335
,0.7064772034,0.057099,0.166182,0.7376048818,0.088812,0.236738
,0.6786679453,0.068052,0.118535,0.7535469108,0.159202,0.26282
,0.6589660884,0.071526,0.082108,0.7456903127,0.21417,0.29753
,0.6423154041,0.049794,0.064249,0.7263920671,0.167544,0.336632
,0.6507715108,0.017918,0.06836,0.7209763539,0.084492,0.396898
,0.7056926162,0.000285,0.094394,0.7309687262,0.004259,0.476914
,0.7224304769,0,0.129465,0.7959572845,0,0.565506
,0.7161537791,0,0.155494,0.8227307399,0,0.640012
,0.6888675791,0,0.176567,0.8098398169,0,0.693243
,0.6483305727,0,0.198698,0.7800152555,0,0.739732
,0.6149420277,0,0.224562,0.7407322654,0,0.780055
,0.6198239038,0,0.231382,0.7450800915,0,0.813353
,0.5788510156,0,0.224481,0.7322654462,0,0.83175
,0.5414523581,0,0.212267,0.6823798627,0,0.838777
,0.5149507454,0,0.204475,0.6479786423,0,0.843977
,0.5006538227,0,0.194545,0.6223493516,0,0.850459
,0.4935053613,0,0.178164,0.6032036613,0,0.858383
,0.5023101735,0,0.14333,0.6099160946,0,0.858955
,0.5200069741,0,0.106283,0.6538520214,0,0.855085
,0.537529422,0,0.07623,0.7459954233,0,0.848046
,0.5854764188,0,0.055587,0.8311212815,0,0.844236
,0.6255775434,0.077264,0.039141,0.8719298246,0,0.839251
