timestep,demand_el,demand_th
3001,219326.3596653,0.1727238027
3002,216566.3764352,0.1878310716
3003,217332.5256261,0.1804246049
3004,224057.1001518,0.1981005066
3005,235780.105845,0.2678339407
3006,265447.6178909,0.3986349305
3007,292641.298814,0.4266527212
3008,308153.512253,0.4065678067
3009,313124.2512812,0.3898818859
3010,320001.1325737,0.3657894985
3011,326901.0906491,0.3492507454
3012,326762.6299519,0.3378068049
3013,323808.8017457,0.3317344638
3014,317698.0696442,0.3280835878
3015,312330.4099508,0.3303205282
3016,302315.0861892,0.3414078718
3017,301364.3227354,0.3597969674
3018,300607.4042575,0.3795626418
3019,298387.4177463,0.393969169
3020,289147.4738889,0.402659952
3021,281107.5227402,0.3951436745
3022,263864.5505866,0.3557170404
3023,241936.9915123,0.289906173
3024,227652.4629215,0.2154520719
3025,221458.6544017,0.176145504
3026,218117.1362434,0.1915453098
3027,219409.4360836,0.1840098428
3028,223674.0255563,0.2020476605
3029,231783.2070536,0.2731709261
3030,257490.7431605,0.40657481
3031,285409.0350654,0.4352439372
3032,299430.4883316,0.4147384562
3033,303053.5432408,0.3976907726
3034,308656.5861194,0.373107622
3035,311158.1093815,0.3562243743
3036,306293.5235544,0.3445497148
3037,296088.9701734,0.3383569053
3038,287615.1755069,0.3346376719
3039,283198.2792674,0.3369290734
3040,278015.2338368,0.3482452967
3041,278112.1563248,0.3669999869
3042,276441.3972457,0.3871647703
3043,273487.5690395,0.4018536166
3044,266287.612787,0.4107080896
3045,262281.4832824,0.4030259254
3046,250120.0187147,0.3627933587
3047,229637.0662475,0.2956128913
3048,213363.3189741,0.2196950837
3049,205318.7524688,0.189264
3050,200329.5520143,0.2057833745
3051,201723.3896991,0.197758568
3052,204104.9136904,0.2171874117
3053,203624.9166069,0.2936416466
3054,204954.1392996,0.4370282483
3055,214341.7745674,0.4682229911
3056,228123.2292918,0.4460983954
3057,238470.8587266,0.4276545248
3058,242924.6778187,0.4011858477
3059,250281.5561948,0.3829768579
3060,246561.5787976,0.3704164574
3061,236490.8707572,0.3637617314
3062,225035.5557451,0.359781594
3063,221906.3439892,0.3622847923
3064,220161.7392049,0.3744812489
3065,223701.7176957,0.3946379804
3066,227537.0790072,0.4163351416
3067,228423.227469,0.4321054648
3068,224597.0968707,0.4415850059
3069,227200.1579774,0.4332618281
3070,222797.1078076,0.3899320372
3071,206874.1276336,0.3174811853
3072,194671.1248569,0.2359549812
3073,184235.8036472,0.1909107542
3074,181826.5875166,0.2075704456
3075,180691.2097998,0.1994847952
3076,182620.428847,0.2190886395
3077,182643.5056298,0.2962123426
3078,176200.4678551,0.4408524512
3079,179560.4474396,0.4723673973
3080,193563.4392796,0.45003881
3081,201778.773978,0.4314186515
3082,208461.8102945,0.4047128425
3083,216903.2974649,0.3863368793
3084,212500.2472951,0.3736651606
3085,201921.8500317,0.3669524449
3086,195100.3530181,0.3629396868
3087,191518.8363181,0.3654698053
3088,191758.8348598,0.3777770604
3089,200108.0148989,0.3981098319
3090,212043.3269945,0.4199995992
3091,216566.3764352,0.4359055781
3092,218878.6700778,0.4454633049
3093,225815.5510058,0.4370591029
3094,224906.3257611,0.3933397023
3095,207095.6647491,0.3202250984
3096,196572.6517646,0.2379952465
3097,192483.4458417,0.1751658076
3098,191449.6059695,0.1904818768
3099,193900.3603093,0.1829832869
3100,202734.1527884,0.2009174429
3101,214461.7738383,0.2716427465
3102,247498.4961817,0.4043013353
3103,276778.3182755,0.4327836573
3104,293264.3719512,0.4123986666
3105,297427.4235793,0.3954546647
3106,302795.0832727,0.3710120728
3107,307982.7440598,0.3542275156
3108,307996.5901295,0.3426189283
3109,304858.1476605,0.3364606117
3110,294759.7474806,0.3327609373
3111,288972.0903391,0.3350367124
3112,280465.9881766,0.3462873729
3113,281167.5223756,0.3649373823
3114,284273.6573487,0.3849878687
3115,283825.9677612,0.3995958919
3116,274059.8732545,0.4084035252
3117,270127.589455,0.4007689131
3118,255335.3716413,0.3607671813
3119,232604.7405234,0.2939790715
3120,217849.4455622,0.2184803133
3121,210446.4136205,0.1216880281
3122,207455.6625617,0.118857931
3123,209034.1145094,0.115470415
3124,216510.9921563,0.1284898265
3125,227246.3115431,0.1949240462
3126,254352.3006914,0.3111847349
3127,279141.3808404,0.3627909661
3128,290185.9291176,0.3288837741
3129,292142.8403042,0.3061464629
3130,296250.5076534,0.2833839939
3131,300533.5585524,0.2663462221
3132,294307.4425365,0.2523876379
3133,290421.3123028,0.2458779321
3134,286059.8003421,0.2379917189
3135,287130.5630668,0.2308690131
3136,283004.4342913,0.2349859566
3137,285353.6507866,0.2437342604
3138,288381.3246979,0.2587521015
3139,288464.4011162,0.2797348083
3140,280447.5267504,0.2985990013
3141,276422.9358194,0.3021621826
3142,263799.9355946,0.2834432318
3143,239744.6971405,0.2231101978
3144,222210.9575229,0.1586869867
3145,217581.754881,0.1041164911
3146,214014.0842508,0.1016558883
3147,216317.1471803,0.0987045341
3148,222746.3388853,0.1097822534
3149,230412.4461516,0.1665093554
3150,259115.3486739,0.2655809059
3151,287661.3290726,0.3094147232
3152,300556.6353352,0.2803784964
3153,301945.8576634,0.2611607205
3154,305342.7601005,0.2417781347
3155,310590.4205231,0.2273270231
3156,306030.4482298,0.2154565713
3157,303422.7717665,0.2099177116
3158,297122.8100455,0.2031948874
3159,293605.9083376,0.1970760257
3160,286059.8003421,0.2005455145
3161,283309.0478251,0.2079683977
3162,283692.1224206,0.2207311016
3163,281347.5212819,0.2386243187
3164,273764.4904339,0.2547330317
3165,268922.9813897,0.257873156
3166,252404.6202179,0.2420287723
3167,226503.239135,0.1907754948
3168,206269.5159227,0.1358157824
3169,195663.4265199,0.0856907647
3170,189460.3872869,0.0836292494
3171,191311.1452723,0.0811509961
3172,194920.3541118,0.0902109601
3173,190000.3840059,0.1367929551
3174,180335.8273438,0.2179589412
3175,184489.6482587,0.2537377094
3176,197352.6470253,0.2298167116
3177,211424.8692138,0.2142193866
3178,220849.4273341,0.1983533623
3179,231049.3653586,0.1865771063
3180,228737.0717159,0.1768747538
3181,220618.6595055,0.1723447719
3182,213589.4714461,0.166834576
3183,209675.6490729,0.1617756812
3184,208697.1934796,0.1645819733
3185,213321.7807649,0.1706334702
3186,218975.5925658,0.1810571239
3187,219963.2788723,0.1957283711
3188,218758.6708069,0.208957016
3189,221246.3479993,0.2116263567
3190,218814.0550858,0.1987453238
3191,202244.9249918,0.1569039713
3192,191648.0663021,0.1118200156
