timestep,price_el_demand,price_el_source
1,-15.15,15.15
2,-12.96,12.96
3,-12.09,12.09
4,-11.7,11.7
5,-11.66,11.66
6,-11.35,11.35
7,-9.85,9.85
8,-9.54,9.54
9,-9.49,9.49
10,-11.64,11.64
11,-11.94,11.94
12,-13.15,13.15
13,-15.24,15.24
14,-13.69,13.69
15,-16.96,16.96
16,-26.06,26.06
17,-32.11,32.11
18,-32.88,32.88
19,-32.22,32.22
20,-30.63,30.63
21,-28.64,28.64
22,-20.09,20.09
23,-15.1,15.1
24,-12.95,12.95
25,-7.66,7.66
26,-7.02,7.02
27,-1.92,1.92
28,0.04,-0.04
29,-0.06,0.06
30,-7.06,7.06
31,-11.8,11.8
32,-21.31,21.31
33,-30.44,30.44
34,-30.63,30.63
35,-30.86,30.86
36,-33.78,33.78
37,-37.97,37.97
38,-37.42,37.42
39,-36.24,36.24
40,-32.18,32.18
41,-33.56,33.56
42,-52.94,52.94
43,-62.33,62.33
44,-53.53,53.53
45,-39.54,39.54
46,-35.9,35.9
47,-35.47,35.47
48,-30.64,30.64
49,-27.4,27.4
50,-25.61,25.61
51,-19.02,19.02
52,-13.15,13.15
53,-16.01,16.01
54,-24.01,24.01
55,-28.27,28.27
56,-31.66,31.66
57,-31.96,31.96
58,-31.94,31.94
59,-30.96,30.96
60,-31.45,31.45
61,-30.96,30.96
62,-30.99,30.99
63,-30.46,30.46
64,-30.43,30.43
65,-31.12,31.12
66,-36.98,36.98
67,-34.97,34.97
68,-33.13,33.13
69,-30.39,30.39
70,-26.32,26.32
71,-26.1,26.1
72,-11.67,11.67
73,-10.07,10.07
74,-9.84,9.84
75,-7.93,7.93
76,-5.23,5.23
77,-5.18,5.18
78,-8.96,8.96
79,-8.72,8.72
80,-18.4,18.4
81,-26.86,26.86
82,-29.65,29.65
83,-32.02,32.02
84,-34.96,34.96
85,-37.32,37.32
86,-37.2,37.2
87,-36.38,36.38
88,-34.18,34.18
89,-37.36,37.36
90,-43.49,43.49
91,-40.97,40.97
92,-31.92,31.92
93,-29.44,29.44
94,-29.4,29.4
95,-29.03,29.03
96,-24.3,24.3
97,-19.92,19.92
98,-14.69,14.69
99,-13.33,13.33
100,-10.96,10.96
101,-11.56,11.56
102,-11.66,11.66
103,-11,11
104,-11.38,11.38
105,-13.77,13.77
106,-27.42,27.42
107,-30.9,30.9
108,-32.45,32.45
109,-32.07,32.07
110,-29.91,29.91
111,-28.41,28.41
112,-28.06,28.06
113,-33.16,33.16
114,-34.94,34.94
115,-40.13,40.13
116,-38.49,38.49
117,-34.67,34.67
118,-29.4,29.4
119,-28.81,28.81
120,-22.08,22.08
121,-13.84,13.84
122,-11.89,11.89
123,-9.85,9.85
124,-5.09,5.09
125,-3.98,3.98
126,-8.24,8.24
127,-13.21,13.21
128,-26.09,26.09
129,-27.71,27.71
130,-27.82,27.82
131,-26.06,26.06
132,-28.04,28.04
133,-28.11,28.11
134,-28.16,28.16
135,-28.14,28.14
136,-29,29
137,-30.19,30.19
138,-31.41,31.41
139,-30.77,30.77
140,-29.48,29.48
141,-29,29
142,-28.34,28.34
143,-26.02,26.02
144,-11.55,11.55
145,-9.26,9.26
146,-7.59,7.59
147,-0.07,0.07
148,-0.07,0.07
149,-2.05,2.05
150,-6.52,6.52
151,-26.07,26.07
152,-31.17,31.17
153,-32.91,32.91
154,-30.92,30.92
155,-29.99,29.99
156,-30.91,30.91
157,-30.09,30.09
158,-30.84,30.84
159,-35.81,35.81
160,-43,43
161,-46,46
162,-54.44,54.44
163,-52.92,52.92
164,-47.99,47.99
165,-34.99,34.99
166,-28.59,28.59
167,-28.14,28.14
168,-20.06,20.06
169,-22.01,22.01
170,-14.61,14.61
171,-12.67,12.67
172,-11.34,11.34
173,-11.37,11.37
174,-22.41,22.41
175,-30.31,30.31
176,-46.2,46.2
177,-49.96,49.96
178,-33.51,33.51
179,-31.14,31.14
180,-31.18,31.18
181,-30.13,30.13
182,-30.3,30.3
183,-31.22,31.22
184,-33.53,33.53
185,-37.68,37.68
186,-57.67,57.67
187,-62.96,62.96
188,-50.95,50.95
189,-48.39,48.39
190,-38.97,38.97
191,-35.92,35.92
192,-29.28,29.28
193,-27.18,27.18
194,-26.5,26.5
195,-24.83,24.83
196,-26.66,26.66
197,-27.18,27.18
198,-27.12,27.12
199,-34.65,34.65
200,-48,48
201,-56.97,56.97
202,-47.92,47.92
203,-38.46,38.46
204,-33.5,33.5
205,-30.4,30.4
206,-30.28,30.28
207,-29.86,29.86
208,-30.1,30.1
209,-30.57,30.57
210,-31.2,31.2
211,-30.59,30.59
212,-29.97,29.97
213,-29.29,29.29
214,-27.87,27.87
215,-19.77,19.77
216,-8.26,8.26
217,-8.3,8.3
218,-8.99,8.99
219,-7.74,7.74
220,-8.91,8.91
221,-8.23,8.23
222,-11.98,11.98
223,-28.68,28.68
224,-32.57,32.57
225,-32.92,32.92
226,-31.24,31.24
227,-30.8,30.8
228,-30.63,30.63
229,-30.17,30.17
230,-30.23,30.23
231,-30.58,30.58
232,-36.77,36.77
233,-42.55,42.55
234,-50.07,50.07
235,-55.02,55.02
236,-39.18,39.18
237,-33.57,33.57
238,-30.51,30.51
239,-30.57,30.57
240,-29.28,29.28
241,-29.22,29.22
242,-28.17,28.17
243,-27.21,27.21
244,-27.09,27.09
245,-26.76,26.76
246,-27.91,27.91
247,-28.01,28.01
248,-30.31,30.31
249,-35.05,35.05
250,-36.97,36.97
251,-37.16,37.16
252,-35.45,35.45
253,-39.89,39.89
254,-31.34,31.34
255,-31.12,31.12
256,-30.5,30.5
257,-30.78,30.78
258,-33.18,33.18
259,-31.25,31.25
260,-33.63,33.63
261,-29.27,29.27
262,-24.55,24.55
263,-15.93,15.93
264,-11.12,11.12
265,-1.81,1.81
266,-2.14,2.14
267,-0.04,0.04
268,-0.11,0.11
269,-6.78,6.78
270,-6.73,6.73
271,-0.9,0.9
272,-8.98,8.98
273,-11.77,11.77
274,-13.01,13.01
275,-13.48,13.48
276,-19.91,19.91
277,-19.03,19.03
278,-13.93,13.93
279,-25.7,25.7
280,-27.07,27.07
281,-31.11,31.11
282,-39.66,39.66
283,-41.96,41.96
284,-46.09,46.09
285,-37.35,37.35
286,-32.85,32.85
287,-37.62,37.62
288,-32.17,32.17
289,-26,26
290,-27.86,27.86
291,-27.6,27.6
292,-25.95,25.95
293,-25.91,25.91
294,-26.71,26.71
295,-33.11,33.11
296,-50.84,50.84
297,-49.09,49.09
298,-39.92,39.92
299,-37.3,37.3
300,-39.94,39.94
301,-39.88,39.88
302,-45.22,45.22
303,-48.39,48.39
304,-48.78,48.78
305,-57.93,57.93
306,-62.9,62.9
307,-64.41,64.41
308,-60.71,60.71
309,-51.62,51.62
310,-43.31,43.31
311,-40.15,40.15
312,-33.14,33.14
313,-31.14,31.14
314,-29.65,29.65
315,-29.56,29.56
316,-29.15,29.15
317,-29.37,29.37
318,-30.34,30.34
319,-36.98,36.98
320,-60.09,60.09
321,-65.94,65.94
322,-66.06,66.06
323,-66.95,66.95
324,-67.51,67.51
325,-60.02,60.02
326,-55.01,55.01
327,-52.54,52.54
328,-51.86,51.86
329,-55.88,55.88
330,-70.68,70.68
331,-68,68
332,-53.7,53.7
333,-54.94,54.94
334,-45.14,45.14
335,-42.94,42.94
336,-31,31
337,-32.33,32.33
338,-30.66,30.66
339,-29.92,29.92
340,-29.63,29.63
341,-29.54,29.54
342,-30.65,30.65
343,-39.94,39.94
344,-55.67,55.67
345,-62.65,62.65
346,-58.07,58.07
347,-55.47,55.47
348,-53.9,53.9
349,-54.16,54.16
350,-54.35,54.35
351,-50.75,50.75
352,-50.51,50.51
353,-52.1,52.1
354,-56.49,56.49
355,-62.96,62.96
356,-61.29,61.29
357,-47,47
358,-35.45,35.45
359,-32.53,32.53
360,-30.51,30.51
361,-30.06,30.06
362,-28.92,28.92
363,-25.6,25.6
364,-21.42,21.42
365,-25.54,25.54
366,-28.66,28.66
367,-33.35,33.35
368,-50.09,50.09
369,-48.34,48.34
370,-51.57,51.57
371,-50.84,50.84
372,-52.2,52.2
373,-51.52,51.52
374,-51.45,51.45
375,-50.07,50.07
376,-47.79,47.79
377,-47.27,47.27
378,-50.05,50.05
379,-52.76,52.76
380,-46,46
381,-39.11,39.11
382,-32.2,32.2
383,-33.24,33.24
384,-29.98,29.98
385,-29.53,29.53
386,-28.17,28.17
387,-19.58,19.58
388,-20.43,20.43
389,-27.54,27.54
390,-29.12,29.12
391,-34.03,34.03
392,-48.97,48.97
393,-49.96,49.96
394,-47.71,47.71
395,-47.91,47.91
396,-47.96,47.96
397,-48.68,48.68
398,-46.17,46.17
399,-42.32,42.32
400,-41.46,41.46
401,-46.86,46.86
402,-49.41,49.41
403,-52.75,52.75
404,-49.43,49.43
405,-43.74,43.74
406,-33.33,33.33
407,-34.45,34.45
408,-30.44,30.44
409,-30.5,30.5
410,-29.79,29.79
411,-28.58,28.58
412,-26.79,26.79
413,-28.57,28.57
414,-28.37,28.37
415,-28.55,28.55
416,-30.25,30.25
417,-33.34,33.34
418,-39.96,39.96
419,-35.17,35.17
420,-32.44,32.44
421,-31.28,31.28
422,-30.89,30.89
423,-30.68,30.68
424,-30.88,30.88
425,-33.17,33.17
426,-42.92,42.92
427,-44.92,44.92
428,-39.72,39.72
429,-30.21,30.21
430,-28.63,28.63
431,-30.18,30.18
432,-19.07,19.07
433,-15.88,15.88
434,-10.04,10.04
435,-10.06,10.06
436,-9.48,9.48
437,-10.01,10.01
438,-9.49,9.49
439,-8.52,8.52
440,-9.66,9.66
441,-13.32,13.32
442,-29.76,29.76
443,-30.06,30.06
444,-31.6,31.6
445,-30.78,30.78
446,-29.07,29.07
447,-26.1,26.1
448,-27.42,27.42
449,-29.67,29.67
450,-39.85,39.85
451,-44.95,44.95
452,-39.22,39.22
453,-32.26,32.26
454,-34.99,34.99
455,-40.09,40.09
456,-30.33,30.33
457,-26.71,26.71
458,-25.27,25.27
459,-20.72,20.72
460,-13.95,13.95
461,-13.14,13.14
462,-25.5,25.5
463,-45.93,45.93
464,-71.97,71.97
465,-63.12,63.12
466,-64.4,64.4
467,-62.93,62.93
468,-64.44,64.44
469,-59.61,59.61
470,-58.04,58.04
471,-54.16,54.16
472,-49.7,49.7
473,-52.53,52.53
474,-64.91,64.91
475,-77.99,77.99
476,-63.97,63.97
477,-62.7,62.7
478,-50.4,50.4
479,-40.84,40.84
480,-31.5,31.5
481,-31.57,31.57
482,-31.12,31.12
483,-30.65,30.65
484,-30.29,30.29
485,-30.53,30.53
486,-33.68,33.68
487,-45.86,45.86
488,-59.91,59.91
489,-62.98,62.98
490,-60.19,60.19
491,-63.32,63.32
492,-65.65,65.65
493,-62.91,62.91
494,-61.46,61.46
495,-57.41,57.41
496,-50.81,50.81
497,-54.09,54.09
498,-60.23,60.23
499,-60.57,60.57
500,-62.97,62.97
501,-52.97,52.97
502,-48.03,48.03
503,-39.11,39.11
504,-31.87,31.87
505,-34.09,34.09
506,-32.05,32.05
507,-31.13,31.13
508,-31.02,31.02
509,-31.14,31.14
510,-34.06,34.06
511,-48.5,48.5
512,-67.49,67.49
513,-66.49,66.49
514,-65.66,65.66
515,-60.88,60.88
516,-62.79,62.79
517,-61.44,61.44
518,-59.37,59.37
519,-58.96,58.96
520,-54.76,54.76
521,-61.62,61.62
522,-71.58,71.58
523,-80.06,80.06
524,-64.04,64.04
525,-61.3,61.3
526,-53.06,53.06
527,-40.83,40.83
528,-32.07,32.07
529,-32.07,32.07
530,-31.55,31.55
531,-31.19,31.19
532,-31.1,31.1
533,-31.17,31.17
534,-33.16,33.16
535,-43.13,43.13
536,-60.59,60.59
537,-65.1,65.1
538,-65.05,65.05
539,-64.92,64.92
540,-62.17,62.17
541,-60.92,60.92
542,-60.91,60.91
543,-54.77,54.77
544,-49.69,49.69
545,-48.08,48.08
546,-55.17,55.17
547,-63.96,63.96
548,-54.17,54.17
549,-53.2,53.2
550,-35.06,35.06
551,-33.98,33.98
552,-31.12,31.12
553,-32.08,32.08
554,-31.58,31.58
555,-30.34,30.34
556,-29.99,29.99
557,-30.53,30.53
558,-32.17,32.17
559,-43.42,43.42
560,-61.6,61.6
561,-62.5,62.5
562,-63.3,63.3
563,-61.59,61.59
564,-63.28,63.28
565,-60.39,60.39
566,-59.33,59.33
567,-58.97,58.97
568,-53.19,53.19
569,-53.03,53.03
570,-64.41,64.41
571,-64.94,64.94
572,-63.71,63.71
573,-54.64,54.64
574,-50.15,50.15
575,-46.01,46.01
576,-33.8,33.8
577,-36.42,36.42
578,-32.05,32.05
579,-31.1,31.1
580,-30.32,30.32
581,-29.83,29.83
582,-29.04,29.04
583,-30.9,30.9
584,-31.58,31.58
585,-32.4,32.4
586,-42.04,42.04
587,-43.63,43.63
588,-44.11,44.11
589,-39.65,39.65
590,-35.02,35.02
591,-32.69,32.69
592,-32.69,32.69
593,-33.57,33.57
594,-44.95,44.95
595,-48.04,48.04
596,-43.14,43.14
597,-32.57,32.57
598,-30.05,30.05
599,-32.04,32.04
600,-29.89,29.89
601,-22.11,22.11
602,-19.14,19.14
603,-14.85,14.85
604,-13.14,13.14
605,-14.39,14.39
606,-15.98,15.98
607,-14.32,14.32
608,-17,17
609,-28,28
610,-31.25,31.25
611,-33.69,33.69
612,-44.57,44.57
613,-38.48,38.48
614,-32.09,32.09
615,-31.85,31.85
616,-32.01,32.01
617,-33.22,33.22
618,-48.33,48.33
619,-42.93,42.93
620,-33.88,33.88
621,-31.96,31.96
622,-25.01,25.01
623,-28.24,28.24
624,-20.29,20.29
625,-12.63,12.63
626,-12.03,12.03
627,-12.81,12.81
628,-9.98,9.98
629,-9.8,9.8
630,-13.09,13.09
631,-30.14,30.14
632,-47.43,47.43
633,-48.98,48.98
634,-48.04,48.04
635,-45.1,45.1
636,-49.96,49.96
