timestep,demand_el,price_el,Eta_el_max_woDH,P_max_woDH,Eta_el_min_woDH,P_min_woDH,Beta,Q_CW_min,H_L_FG_share
1,0.5686119874,-24,0.602482091,217.6776695297,0.5049738272,94.8664078006,0.0397990822,25.450184225,0.1382604446
2,0.562791047,-22.23,0.6024855781,225,0.5049773817,94.8670755563,25.4223093928,25.4498921448,0.1382579272
3,0.5427494868,-21.07,0.6024975841,217.6776695297,0.5049896197,94.8693746462,0.1386478436,25.4488865097,0.13824926
4,0.5204671774,-20.08,0.6025109325,200,0.505003226,94.8719307861,0.0006073032,25.4477684394,0.1382396237
5,0.5037178909,-20.18,0.6025209663,182.3223304703,0.5050134537,94.8738521992,51.598431228,25.4469280023,0.1382323802
6,0.4900355515,-23.1,0.6025291628,175,0.5050218086,94.875421784,1.4199537138,25.4462414569,0.1382264631
7,0.4683666316,-29.9,0.6025421437,182.3223304703,0.5050350404,94.8779075582,0.00054651,25.4451541649,0.1382170921
8,0.4612187672,-37.49,0.6025464257,200,0.5050394051,94.8787275335,0.0005381696,25.4447955031,0.1382140009
9,0.4641605328,-40.87,0.6025446634,217.6776695297,0.5050376088,94.8783900655,0.0005416022,25.4449431135,0.1382152731
10,0.4869435682,-41,0.6025310151,225,0.5050236967,94.8757764843,0.0005681864,25.4460863089,0.138225126
11,0.5130439137,-40.44,0.6025153795,217.6776695297,0.5050077589,94.8727823541,0.0005986414,25.4473959587,0.1382364134
12,0.5452405989,-40.51,0.6024960918,200,0.5049880986,94.8690888755,0.0006362098,25.4490115074,0.1382503373
13,0.5654198588,-36.64,0.6024840033,182.3223304703,0.5049757764,94.8667739892,0.0006597559,25.450024052,0.1382590641
14,0.5633919183,-32.11,0.6024852181,175,0.5049770147,94.8670066267,0.0006573896,25.449922295,0.1382581871
15,0.5572204697,-30.9,0.6024889152,182.3223304703,0.5049807832,94.8677145913,0.0006501885,25.4496126272,0.1382555182
16,0.5594236643,-28.96,0.6024875953,200,0.5049794379,94.8674618494,0.0006527593,25.449723178,0.138256471
