Date,solar,wind,uranium,lignite,hard_coal,gas,oil,mixed_fuels,biomass,other_renewable,hydro,pump,consumption,export,import
2014-01-31,719,6418,8430,13394,10724,8111,645,856,3109,136,2045,740,49515,4332,0
2014-02-28,1623,6731,8007,11865,9373,6265,429,845,2852,123,1765,627,44684,4567,0
2014-03-31,3350,4848,8302,12926,9413,5474,361,962,3099,131,1772,682,45846,4110,0
2014-04-30,3715,3703,7334,11519,8914,4081,269,1000,3014,120,1676,644,41714,2987,0
2014-05-31,4207,4116,6057,10956,8040,3446,288,967,3070,129,2149,649,41770,1006,0
2014-06-30,5012,2618,6644,11288,7455,3309,325,958,2846,118,1749,544,39959,1819,0
2014-07-31,4605,2560,6189,11241,8695,3695,292,1031,2909,114,2202,533,43542,0,542
2014-08-31,4858,3858,7343,10518,6268,3294,327,1040,3134,162,2387,633,42429,127,0
2014-09-30,3544,2896,7492,12219,9903,3844,324,959,3052,131,2164,677,42745,3106,0
2014-10-31,1956,4270,8784,13628,10295,4661,555,985,3158,107,2077,739,44892,4845,0
2014-11-30,953,4506,8558,13190,10263,5845,581,982,3206,103,2148,743,45611,3981,0
2014-12-31,419,8960,8659,11585,9327,6887,634,936,3351,102,1964,793,46662,5369,0
