class,label,source,target,conversion_factors,nominal_value,actual_value,min,max,fixed_costs,variable_costs,summed_max,summed_min,fixed,nominal_capacity,capacity_loss,nominal_input_capacity_ratio,nominal_output_capacity_ratio,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,,,,
Blank lines and comments are allowed across multiple columns to structure the different elements of an energy system,,,,,,,,,,,,,,,,,,,,,,,
"So far, the busses have to be created on the bottom of the file. Otherwise there is a grouping error in groupings.py (line 144): ValueError: Possibly duplicate uids/labels?",,,,,,,,,,,,,,,,,,,,,,,
Would be nice if this can be fixed at a later point,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Source,rgas,rgas,bus_gas1,,,,,,,,,,,,,,,,,,,,
Source,wind1,wind1,bus_el1,,30,seq,,,,,,,True,,,,,,,,,,True
Source,solar1,solar1,bus_el1,,50,seq,,,,,,,True,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sink,demand_th,bus_th1,demand_th,,,,,,,,,,,,,,,,,,,,False
Sink,demand1,bus_el1,demand1,,300,seq,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
LinearTransformer,chp1,bus_gas1,chp1,,,,,,,,,,,,,,,,,,,,
LinearTransformer,chp1,chp1,bus_el1,0.4,400,,,seq,,30,,,,,,,,,,,,,
LinearTransformer,chp1,chp1,bus_th1,0.4,400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Storage,storage1,bus_el1,storage1,,200,,,,,,,,,500,0.1,0.2,0.56,0.97,1,0.5,0.1,1,
Storage,storage1,storage1,bus_el1,,100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bus,bus_el1,bus_el1,bus_el1,,,,,,,,,,,,,,,,,,,,True
Bus,bus_th1,bus_th1,bus_th1,,,,,,,,,,,,,,,,,,,,True
Bus,bus_gas1,bus_gas1,bus_gas1,,,,,,,,,,,,,,,,,,,,True
