class,Sink,Source,Source,LinearTransformer,LinearTransformer
label,demand1,solar1,wind1,chp1,chp1
source,bus_el1,solar1,wind1,chp1,chp1
target,demand1,bus_el1,bus_el1,bus_el1,bus_th1
attribute,actual_value,actual_value,actual_value,max,max
,0.3306490971,0,0.7642424825,0.97,0.99
,0.3111273792,0,0.7700067249,0.97,0.99
,0.282454856,0,0.7389758863,0.97,0.99
,0.2619570522,0,0.650879047,0.97,0.99
,0.2504880429,0,0.5867998847,0.97,0.99
,0.2445705222,0,0.5391488135,0.97,0.99
,0.2358467545,0,0.4888077625,0.97,0.99
,0.2478038067,0,0.4170429436,0.97,0.99
,0.2651293314,0.0106528847,0.3688154482,0.97,0.99
,0.2925817472,0.0602257146,0.3237582861,0.97,0.99
,0.3237554905,0.1240375488,0.2916706696,0.97,0.99
,0.3643850659,0.1632739163,0.278701124,0.97,0.99
,0.3838457784,0.1850015821,0.2559323662,0.97,0.99
,0.3884821864,0.1543086172,0.2409453358,0.97,0.99
,0.3980600293,0.0952431178,0.2341243155,0.97,0.99
,0.4233162518,0.0352283514,0.248438851,0.97,0.99
,0.4796242069,0.002953275,0.2527620329,0.97,0.99
,0.5263543192,0,0.2665962148,0.97,0.99
,0.53477306,0,0.2947449323,0.97,0.99
,0.5087237677,0,0.3254875588,0.97,0.99
,0.4717545144,0,0.3712172159,0.97,0.99
,0.4365544168,0,0.4033048324,0.97,0.99
,0.435761347,0,0.4214621962,0.97,0.99
,0.3867740361,0,0.4375060044,0.97,0.99
,0.3473645681,0,0.4562397925,0.97,0.99
,0.3155197657,0,0.4777596311,0.97,0.99
,0.2936798438,0,0.4887116918,0.97,0.99
,0.2892264519,0,0.4718993179,0.97,0.99
,0.3027696437,0,0.4394274186,0.97,0.99
,0.3476695949,0,0.4113747718,0.97,0.99
,0.4189238653,0,0.424824671,0.97,0.99
,0.5104929234,0,0.4053223172,0.97,0.99
,0.5663738409,0.0036915937,0.3710250745,0.97,0.99
,0.5648487067,0.0554793798,0.3400903065,0.97,0.99
,0.5547828209,0.1462925852,0.3423960035,0.97,0.99
,0.5381283553,0.2302499736,0.3354789125,0.97,0.99
,0.5419716935,0.2566185002,0.3452781247,0.97,0.99
,0.536420205,0.2128467461,0.3660293976,0.97,0.99
,0.5425817472,0.1475582744,0.3627629936,0.97,0.99
,0.583272328,0.0648665753,0.3584398117,0.97,0.99
,0.63659102,0.0061174982,0.3362474781,0.97,0.99
,0.6971083455,0,0.3154001345,0.97,0.99
,0.6868594436,0,0.3441252762,0.97,0.99
,0.6478160078,0,0.3580555289,0.97,0.99
,0.5899829185,0,0.3528677106,0.97,0.99
,0.5474011713,0,0.3524834278,0.97,0.99
,0.5477672035,0,0.367566529,0.97,0.99
,0.4660200098,0,0.424152176,0.97,0.99
,0.4045876037,0,0.5024498031,0.97,0.99
,0.3610297706,0,0.5904505716,0.97,0.99
,0.329795022,0,0.6480929964,0.97,0.99
,0.3183260127,0,0.6976654818,0.97,0.99
,0.3183260127,0,0.7491593813,0.97,0.99
,0.3530990727,0,0.7638581996,0.97,0.99
,0.4076378721,0,0.7708713613,0.97,0.99
,0.4753538311,0,0.7402248055,0.97,0.99
,0.5125061005,0.0018985339,0.7091939668,0.97,0.99
,0.5278794534,0.0175087016,0.7008358152,0.97,0.99
,0.5577720839,0.0391308934,0.7115957345,0.97,0.99
,0.575158614,0.0504166227,0.746949755,0.97,0.99
,0.5761346999,0.0492564076,0.7457008358,0.97,0.99
,0.5663738409,0.0399746862,0.7362859064,0.97,0.99
,0.5619814544,0.025841156,0.7032375829,0.97,0.99
,0.5689970717,0.0106528847,0.6586607743,0.97,0.99
,0.5857735481,0.000949267,0.6252281679,0.97,0.99
,0.6304294778,0,0.5878566625,0.97,0.99
,0.6366520254,0,0.5312710155,0.97,0.99
,0.6063323572,0,0.5052358536,0.97,0.99
,0.5575280625,0,0.467576136,0.97,0.99
,0.5151293314,0,0.445864156,0.97,0.99
,0.5181185944,0,0.4342396003,0.97,0.99
,0.4590043924,0,0.4505716207,0.97,0.99
,0.4112981942,0,0.474493227,0.97,0.99
,0.3654221571,0,0.4748775098,0.97,0.99
,0.3412030259,0,0.4467287924,0.97,0.99
,0.3386408004,0,0.4262657316,0.97,0.99
,0.3475475842,0,0.4298203478,0.97,0.99
,0.3840287945,0,0.4509559035,0.97,0.99
,0.4414348463,0,0.4965894899,0.97,0.99
,0.5235480722,0,0.4600826208,0.97,0.99
,0.5833333333,0.0005273705,0.4512441157,0.97,0.99
,0.6009638848,0.0059065499,0.485349217,0.97,0.99
,0.6054172767,0.0174032275,0.5575943895,0.97,0.99
,0.61340898,0.0297436979,0.6501104813,0.97,0.99
,0.5988286969,0.0387089969,0.71370929,0.97,0.99
,0.5671059053,0.0367049889,0.7287923912,0.97,0.99
,0.5339799902,0.0230988292,0.7543471995,0.97,0.99
,0.5207418253,0.0080160321,0.7889326544,0.97,0.99
,0.5355661298,0.0007383187,0.784801614,0.97,0.99
,0.5773548072,0,0.755500048,0.97,0.99
,0.5803440703,0,0.7424344317,0.97,0.99
,0.5455710102,0,0.7247574215,0.97,0.99
,0.4945095168,0,0.7072725526,0.97,0.99
,0.4466203026,0,0.6913248151,0.97,0.99
,0.4491215227,0,0.6837352291,0.97,0.99
,0.4038555393,0,0.6684599866,0.97,0.99
,0.3589555881,0,0.6263810164,0.97,0.99
,0.3172889214,0,0.6076472284,0.97,0.99
,0.3005734505,0,0.550196945,0.97,0.99
,0.2997803807,0,0.4955327121,0.97,0.99
,0.3050268424,0,0.4363531559,0.97,0.99
,0.3216203026,0,0.3991737919,0.97,0.99
,0.3375427038,0,0.3683350946,0.97,0.99
,0.3840897999,0,0.3314439427,0.97,0.99
,0.4392996584,0.0007383187,0.318186185,0.97,0.99
,0.472181552,0.0091762472,0.3145354981,0.97,0.99
,0.5112249878,0.0274232676,0.2966663464,0.97,0.99
,0.5369082479,0.0392363675,0.2960899222,0.97,0.99
,0.5414226452,0.0425060648,0.2821596695,0.97,0.99
,0.5230600293,0.0364940407,0.2616966087,0.97,0.99
,0.5154953636,0.0234152516,0.2347007397,0.97,0.99
,0.5286725232,0.0090707731,0.2170237295,0.97,0.99
,0.5675939483,0.0007383187,0.1982899414,0.97,0.99
,0.6488530991,0,0.1711980017,0.97,0.99
,0.6641654466,0,0.1571716784,0.97,0.99
,0.6315885798,0,0.1485253146,0.97,0.99
,0.5760126891,0,0.1295993851,0.97,0.99
,0.5341630063,0,0.1320972236,0.97,0.99
,0.5386774036,0,0.1380536075,0.97,0.99
,0.4891410444,0,0.1456431934,0.97,0.99
,0.432284041,0,0.1611105774,0.97,0.99
,0.4019033675,0,0.1481410318,0.97,0.99
,0.3687774524,0,0.1617830723,0.97,0.99
,0.33443143,0,0.2012681333,0.97,0.99
,0.3204001952,0,0.246805649,0.97,0.99
,0.3134455832,0,0.2607359016,0.97,0.99
,0.3035017082,0,0.2702469017,0.97,0.99
,0.326988775,0,0.2853300029,0.97,0.99
,0.366886286,0.0003164223,0.3037755788,0.97,0.99
,0.4090409956,0.006012024,0.3191468921,0.97,0.99
