datetime,DE_SE_powerline,DK_SE_powerline,NO_SE_powerline,PL_SE_powerline,SE_pp_biomass,SE_pp_gas,SE_pp_hard_coal,SE_pp_lignite,SE_pp_mixed_fuels,SE_pp_oil,SE_pp_uranium,SE_run_of_river,SE_shortage,SE_solar,SE_storage_phs_out,SE_wind,SE_DE_powerline,SE_DK_powerline,SE_NO_powerline,SE_PL_powerline,SE_excess,SE_load,SE_storage_phs_in,SE_storage_phs,duals
2025-01-01 00:00:00,0.0,0.0,3695.0,0.0,1933.75762167,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,4.5e-09,1443.508,1237.11340206,2103.09278351,0.0,618.556701031,0.0,13643.50273509,0.0,0.0,15.3483846154
2025-01-01 01:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1366.1615,1237.11340206,408.625845536,0.0,618.556701031,0.0,13326.86555138,0.0,0.0,15.3483846154
2025-01-01 02:00:00,0.0,0.0,3695.0,0.0,1546.1099558,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1328.096,1237.11340206,2103.09278351,0.0,618.556701031,0.0,13140.44306921,0.0,0.0,15.3483846154
2025-01-01 03:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1326.8915,1237.11340206,627.911651346,0.0,618.556701031,0.0,13068.30974557,0.0,0.0,15.3483846154
2025-01-01 04:00:00,0.0,0.0,3695.0,0.0,1641.74637485,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1357.0535,1237.11340206,2103.09278351,0.0,618.556701031,0.0,13265.036988259999,0.0,0.0,15.3483846154
2025-01-01 05:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1396.054,1237.11340206,154.669035996,0.0,618.556701031,0.0,13610.71486092,0.0,0.0,15.3483846154
2025-01-01 06:00:00,0.0,0.0,3695.0,0.0,184.321633204,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1428.9715,1237.11340206,0.0,0.0,618.556701031,0.0,13982.623030120001,0.0,0.0,15.3483846154
2025-01-01 07:00:00,0.0,0.0,3695.0,0.0,1730.50265895,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1449.8165,1237.11340206,1350.62605716,0.0,618.556701031,0.0,14199.022998710001,0.0,0.0,15.3483846154
2025-01-01 08:00:00,0.0,0.0,3695.0,0.0,2652.77893904,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,2.473e-11,0.0,1447.6934999999999,1237.11340206,2103.09278351,0.0,618.556701031,0.0,14366.70955245,0.0,0.0,15.3483846154
2025-01-01 09:00:00,0.0,0.0,3695.0,0.0,1466.69329571,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,1.3159e-10,0.0,1386.7425,1237.11340206,426.066593072,0.0,618.556701031,0.0,14796.69909955,0.0,0.0,15.3483846154
2025-01-01 10:00:00,0.0,0.0,3695.0,0.0,2674.08640035,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,2.5166000000000004e-10,0.0,1275.472,1237.11340206,1109.06198644,0.0,618.556701031,0.0,15209.826310830002,0.0,0.0,15.3483846154
2025-01-01 11:00:00,0.0,0.0,3695.0,0.0,4019.82592653,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,2.5815000000000003e-10,0.0,1150.468,1237.11340206,2103.09278351,0.0,618.556701031,0.0,15436.53103994,0.0,0.0,15.3483846154
2025-01-01 12:00:00,0.0,0.0,3695.0,0.0,3137.23471996,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,1.3714e-10,-9e-09,1064.4755,1237.11340206,962.138540495,0.0,618.556701031,0.0,15608.901576369999,0.0,1e-08,15.3483846154
2025-01-01 13:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,2.639e-11,0.0,1032.515,1237.11340206,1719.74856387,0.0,618.556701031,0.0,15932.09633305,0.0,1e-08,15.3483846154
2025-01-01 14:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,985.73102673,10530.0,0.0,5.000000000000001e-14,9e-09,1052.161,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16554.129140150002,0.0,0.0,15.8230769231
2025-01-01 15:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,1464.38719262,10530.0,0.0,0.0,0.0,1076.5645,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17057.18880603,0.0,0.0,15.8230769231
2025-01-01 16:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,1558.92294982,10530.0,0.0,0.0,0.0,1123.4850000000001,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17198.64506323,0.0,0.0,15.8230769231
2025-01-01 17:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,1131.8119448,10530.0,0.0,0.0,0.0,1161.8255000000001,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16809.87455821,0.0,0.0,15.8230769231
2025-01-01 18:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,678.787401429,10530.0,0.0,0.0,0.0,1210.154,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16405.17851484,0.0,0.0,15.8230769231
2025-01-01 19:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1245.4969999999998,1237.11340206,2038.58855682,0.0,618.556701031,0.0,15826.2383401,0.0,0.0,15.7663476667
2025-01-01 20:00:00,0.0,0.0,3695.0,0.0,2370.08592174,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1284.536,1237.11340206,782.274431121,0.0,618.556701031,0.0,15241.677387529999,0.0,0.0,15.3483846154
2025-01-01 21:00:00,0.0,0.0,3695.0,0.0,908.861313074,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1333.959,1237.11340206,0.0,0.0,618.556701031,0.0,14612.15020999,0.0,0.0,15.3483846154
2025-01-01 22:00:00,0.0,0.0,3695.0,0.0,2331.1851267,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1434.851,1237.11340206,2103.09278351,0.0,618.556701031,0.0,14032.273240110002,0.0,0.0,15.3483846154
2025-01-01 23:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1535.556,1237.11340206,425.322532676,0.0,618.556701031,0.0,13479.56336424,0.0,0.0,15.3483846154
2025-01-02 00:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1672.132,1237.11340206,812.959968046,0.0,618.556701031,0.0,13228.501928869999,0.0,0.0,14.4412950846
2025-01-02 01:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1813.6415000000002,1237.11340206,1026.60278936,0.0,618.556701031,0.0,13156.36860756,0.0,0.0,14.4412950846
