class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
### znes_100,,,,,,,,,,,,,,,,,,,,
### transshipment based on nep2014 and vernetzen-base,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Source,GL_resource_uranium,GL_resource_uranium,GL_bus_uranium,,,,,,,,5.961744,,,,,,,,,
Source,GL_resource_lignite,GL_resource_lignite,GL_bus_lignite,,,,,,,,27.5949,,,,,,,,,
Source,GL_resource_hard_coal,GL_resource_hard_coal,GL_bus_hard_coal,,,,,,,,45.86634,,,,,,,,,
Source,GL_resource_gas,GL_resource_gas,GL_bus_gas,,,,,,,,54.05328,,,,,,,,,
Source,GL_resource_oil,GL_resource_oil,GL_bus_oil,,,,,,,,86.86674,,,,,,,,,
Source,GL_resource_mixed_fuels,GL_resource_mixed_fuels,GL_bus_mixed_fuels,,,,,,,,27.24696,,,,,,,,,
Source,GL_resource_biomass,GL_resource_biomass,GL_bus_biomass,,,,,,,,27.73476,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### thermal,,,,,,,,,,,,,,,,,,,,
### AT,,,,,,,,,,,,,,,,,,,,
Sink,AT_excess,AT_bus_el,AT_excess,,,,,,,,0.00000001,,,,,,,,,
Source,AT_shortage,AT_shortage,AT_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,AT_pp_gas,AT_pp_gas,AT_bus_el,0.35,73.954,,0.85,,,24000,0.5,,,,,,,,,
LinearTransformer,AT_pp_gas,GL_bus_gas,AT_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,AT_pp_hard_coal,AT_pp_hard_coal,AT_bus_el,0.407,334.01,,0.85,,,35000,4,,,,,,,,,
