class,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source
label,AT_load,AT_solar,AT_wind,BE_load,BE_solar,BE_wind,CH_load,CH_solar,CH_wind,CZ_load,CZ_solar,CZ_wind,DE_load,DE_solar,DE_wind,DK_load,DK_solar,DK_wind,EE_load,EE_solar,EE_wind,FI_load,FI_solar,FI_wind,FR_load,FR_solar,FR_wind,LT_load,LT_solar,LT_wind,LU_load,LU_solar,LU_wind,LV_load,LV_solar,LV_wind,NL_load,NL_solar,NL_wind,NO_load,NO_solar,NO_wind,PL_load,PL_solar,PL_wind,SE_load,SE_solar,SE_wind
source,AT_bus_el,AT_solar,AT_wind,BE_bus_el,BE_solar,BE_wind,CH_bus_el,CH_solar,CH_wind,CZ_bus_el,CZ_solar,CZ_wind,DE_bus_el,DE_solar,DE_wind,DK_bus_el,DK_solar,DK_wind,EE_bus_el,EE_solar,EE_wind,FI_bus_el,FI_solar,FI_wind,FR_bus_el,FR_solar,FR_wind,LT_bus_el,LT_solar,LT_wind,LU_bus_el,LU_solar,LU_wind,LV_bus_el,LV_solar,LV_wind,NL_bus_el,NL_solar,NL_wind,NO_bus_el,NO_solar,NO_wind,PL_bus_el,PL_solar,PL_wind,SE_bus_el,SE_solar,SE_wind
target,AT_load,AT_bus_el,AT_bus_el,BE_load,BE_bus_el,BE_bus_el,CH_load,CH_bus_el,CH_bus_el,CZ_load,CZ_bus_el,CZ_bus_el,DE_load,DE_bus_el,DE_bus_el,DK_load,DK_bus_el,DK_bus_el,EE_load,EE_bus_el,EE_bus_el,FI_load,FI_bus_el,FI_bus_el,FR_load,FR_bus_el,FR_bus_el,LT_load,LT_bus_el,LT_bus_el,LU_load,LU_bus_el,LU_bus_el,LV_load,LV_bus_el,LV_bus_el,NL_load,NL_bus_el,NL_bus_el,NO_load,NO_bus_el,NO_bus_el,PL_load,PL_bus_el,PL_bus_el,SE_load,SE_bus_el,SE_bus_el
attribute,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value
2014-01-01 00:00:00+00:00,0.5590619824,0,0.315569,0.6469870328,0,0.471387,0.8326641627,0,0.437529,0.5548816862,0,0.211133,0.5509100101,0,0.272013,0.528323892,0,0.48071,0.4899328859,0,0.557555,0.622816176,0,0.389033,0.7373416575,0,0.438839,0.5138964578,0,0.249137,0.4233791749,0,0.51508,0.4936138242,0,0.29076,0.5830444204,0,0.399609,0.6177200854,0,0.505526,0.547164242,0,0.19191,0.5855580573,0,0.262456
2014-01-01 01:00:00+00:00,0.5336064859,0,0.311572,0.6099923722,0,0.485642,0.8041704442,0,0.414646,0.5428514615,0,0.212008,0.528450455,0,0.25704,0.5069976674,0,0.459082,0.4718120805,0,0.535084,0.6084777615,0,0.356368,0.7048942773,0,0.442798,0.4920980926,0,0.256398,0.4066797642,0,0.474422,0.4770848986,0,0.272829,0.550595883,0,0.371987,0.6070479592,0,0.47313,0.5205144423,0,0.191215,0.5719684786,0,0.248393
2014-01-01 02:00:00+00:00,0.5060587569,0,0.304005,0.5798627002,0,0.513238,0.771532185,0,0.387076,0.5292304633,0,0.212696,0.5151289181,0,0.244234,0.4860046651,0,0.440595,0.4617449664,0,0.514221,0.6040927125,0,0.321749,0.6615908515,0,0.45049,0.4762942779,0,0.267333,0.3929273084,0,0.45105,0.4673178062,0,0.262887,0.5208559047,0,0.366133,0.5947641242,0,0.451762,0.5024246258,0,0.195778,0.5639675137,0,0.241472
2014-01-01 03:00:00+00:00,0.504140877,0,0.282872,0.5667429443,0,0.538213,0.7356560031,0,0.352027,0.523961026,0,0.21629,0.5054095046,0,0.237717,0.4715094968,0,0.424201,0.4610738255,0,0.489818,0.6082689497,0,0.287921,0.6381519363,0,0.458914,0.4713896458,0,0.275947,0.384086444,0,0.44319,0.4815927874,0,0.25473,0.5009750813,0,0.380113,0.5929781766,0,0.436858,0.4918406072,0,0.209559,0.5608716629,0,0.241253
2014-01-01 04:00:00+00:00,0.5071048732,0,0.25397,0.5648360031,0,0.560754,0.7405776454,0,0.31208,0.5155100418,0,0.222796,0.4935793731,0,0.236189,0.4753415528,0,0.408564,0.4617449664,0,0.461436,0.6222593443,0,0.261366,0.6348673485,0,0.469272,0.4773841962,0,0.282254,0.3831041257,0,0.436941,0.4898572502,0,0.247265,0.5003250271,0,0.405177,0.5972034674,0,0.432412,0.4875395319,0,0.226371,0.5693148922,0,0.246737
2014-01-01 05:00:00+00:00,0.5113765147,0,0.224077,0.5677345538,0,0.581541,0.6938220438,0,0.277513,0.5134221515,0,0.229417,0.4714610718,0,0.236918,0.4878373875,0,0.39409,0.4677852349,0,0.429314,0.6246258787,0,0.240394,0.6353503762,0,0.482156,0.4871934605,0,0.283795,0.3791748527,0,0.437344,0.4973703982,0,0.239866,0.5156554713,0,0.4314,0.6090952651,0,0.438726,0.4899009066,0,0.239598,0.5841508524,0,0.253828
