class,demand_el,pv,wind,demand_th,price_el
,0.5590619824,0,0.315569,0.1469452338,-24
,0.5336064859,0,0.311572,0.1500444621,-22.23
,0.5060587569,0,0.304005,0.1569258683,-21.07
,0.504140877,0,0.282872,0.1740503842,-20.08
,0.5071048732,0,0.25397,0.2175136794,-20.18
,0.5113765147,0,0.224077,0.2993166845,-23.1
,0.5418010636,0,0.19358,0.3541620446,-29.9
,0.5692616162,0.065722,0.159925,0.3316082816,-37.49
,0.6029988667,0.206962,0.127115,0.3062301219,-40.87
,0.6290645977,0.330638,0.117491,0.2851263663,-41
,0.6346438846,0.403131,0.115909,0.2630026701,-40.44
,0.6150292041,0.411138,0.104524,0.2502968704,-40.51
,0.6057885102,0.367118,0.090434,0.2435902264,-36.64
,0.5947171127,0.268577,0.084694,0.2437331516,-32.11
,0.6072705082,0.112434,0.11591,0.246778243,-30.9
,0.6806730015,0.002041,0.161279,0.2542671496,-28.96
,0.708830965,0,0.188771,0.2675343843,-28.12
,0.7070002615,0,0.204966,0.2856671632,-30.11
,0.6811960596,0,0.216057,0.297276272,-32.66
,0.6406590533,0,0.225119,0.2837494791,-32.92
,0.6097986226,0,0.233534,0.2626769986,-30.95
,0.6159009677,0,0.262063,0.2184679538,-29.57
,0.5671693837,0,0.305065,0.1507227637,-30.9
,0.5359602476,0,0.355796,0.1441735159,-26.64
,0.5163455671,0,0.408281,0.1727600376,-21.96
,0.5034434661,0,0.450823,0.1774486003,-20.75
,0.4982128847,0,0.484929,0.1849768878,-20.06
,0.519483916,0,0.52013,0.198377213,-20
,0.5817278354,0,0.566966,0.2334336342,-20
,0.6566123267,0,0.61004,0.3090781543,-22.37
,0.7317583471,0,0.642484,0.3621553123,-29.03
,0.7625316014,0.024076,0.665305,0.3496276187,-37.97
,0.7838026327,0.102765,0.67224,0.3293109494,-39.54
,0.7953970883,0.194915,0.648874,0.3112578832,-37.98
,0.7907767413,0.267827,0.610417,0.2890211734,-37.09
