0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.0,6.5,4.0,84,99360,9999,9999,320,0,0,0,999900,999900,999900,99990,230,4.5,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
3600.0,6.5,4.0,84,99360,9999,9999,320,0,0,0,999900,999900,999900,99990,230,4.5,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
7200.0,5.2,2.9,85,98800,9999,9999,303,0,0,0,999900,999900,999900,99990,210,4.3,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
10800.0,4.4,2.4,87,98410,9999,9999,287,0,0,0,999900,999900,999900,99990,190,4.1,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
14400.0,4.4,2.3,86,98410,9999,9999,304,0,0,0,999900,999900,999900,99990,200,4.4,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
18000.0,4.4,2.3,86,98440,9999,9999,324,0,0,0,999900,999900,999900,99990,260,4.4,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
21600.0,4.1,2.3,88,98470,9999,9999,320,0,0,0,999900,999900,999900,99990,300,4.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
25200.0,3.9,1.6,85,98590,9999,9999,255,0,0,0,999900,999900,999900,99990,320,4.0,4,4,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
28800.0,3.1,0.7,84,98720,9999,9999,261,0,0,0,999900,999900,999900,99990,310,4.0,8,8,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
32400.0,2.8,0.0,82,98830,9999,9999,254,31,0,28,999900,999900,999900,99990,280,3.0,6,6,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
36000.0,3.5,0.0,78,98950,9999,9999,259,39,0,39,999900,999900,999900,99990,300,4.0,8,8,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
39600.0,3.8,0.1,77,99070,9999,9999,300,58,0,58,999900,999900,999900,99990,260,2.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
43200.0,4.2,0.4,76,99100,9999,9999,276,116,29,108,999900,999900,999900,99990,240,3.0,8,8,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
46800.0,4.1,0.6,78,99110,9999,9999,302,64,0,64,999900,999900,999900,99990,270,4.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
50400.0,4.2,0.5,77,99120,9999,9999,302,92,61,75,999900,999900,999900,99990,310,5.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
54000.0,2.3,0.4,87,99140,9999,9999,252,47,0,47,999900,999900,999900,99990,290,0.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
57600.0,3.3,0.0,79,99170,9999,9999,256,36,65,28,999900,999900,999900,99990,280,4.0,5,5,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
61200.0,3.1,-1.8,70,99220,9999,9999,252,0,0,0,999900,999900,999900,99990,260,4.0,4,4,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
64800.0,2.9,-2.6,67,99270,9999,9999,260,0,0,0,999900,999900,999900,99990,260,4.0,8,8,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
68400.0,2.1,-2.8,70,99350,9999,9999,248,0,0,0,999900,999900,999900,99990,260,5.0,6,6,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
72000.0,1.7,-3.6,68,99390,9999,9999,245,0,0,0,999900,999900,999900,99990,260,3.0,6,6,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
75600.0,1.5,-4.3,65,99400,9999,9999,243,0,0,0,999900,999900,999900,99990,250,7.0,6,6,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
79200.0,1.3,-4.7,64,99410,9999,9999,242,0,0,0,999900,999900,999900,99990,260,7.0,5,5,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
82800.0,1.2,-4.6,65,99460,9999,9999,251,0,0,0,999900,999900,999900,99990,260,5.0,6,6,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
86400.0,0.7,-3.9,71,99460,9999,9999,243,0,0,0,999900,999900,999900,99990,240,5.0,4,4,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
90000.0,0.6,-3.9,72,99460,9999,9999,253,0,0,0,999900,999900,999900,99990,240,4.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
93600.0,1.2,-4.2,67,99450,9999,9999,255,0,0,0,999900,999900,999900,99990,240,5.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
97200.0,1.0,-3.7,71,99500,9999,9999,271,0,0,0,999900,999900,999900,99990,230,4.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
100800.0,0.8,-3.7,72,99500,9999,9999,244,0,0,0,999900,999900,999900,99990,250,4.0,6,6,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
104400.0,0.3,-3.6,75,99500,9999,9999,239,0,0,0,999900,999900,999900,99990,230,3.0,5,5,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
108000.0,0.2,-3.5,76,99530,9999,9999,255,0,0,0,999900,999900,999900,99990,240,2.0,8,8,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
111600.0,0.3,-3.2,77,99570,9999,9999,267,0,0,0,999900,999900,999900,99990,250,2.0,8,8,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
115200.0,1.0,-3.5,72,99620,9999,9999,259,0,0,0,999900,999900,999900,99990,260,4.0,8,8,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
118800.0,0.4,-3.3,76,99660,9999,9999,238,48,0,42,999900,999900,999900,99990,250,3.0,5,5,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
122400.0,2.0,-3.5,67,99740,9999,9999,276,42,0,42,999900,999900,999900,99990,240,5.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
126000.0,2.0,-3.3,68,99800,9999,9999,291,58,0,58,999900,999900,999900,99990,250,6.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
