MESS_DATUM,TT_TU,RF_TU,PV
2023020100,4.8,75,0
2023020101,4.6,75,0
2023020102,4.6,73,0
2023020103,4.9,70,0
2023020104,3.3,86,0
2023020105,4.1,81,0
2023020106,4.3,77,0
2023020107,4.4,77,0
2023020108,4.3,78,0
2023020109,4.7,78,0.062188
2023020110,4.9,78,0.15426
2023020111,6.2,67,0.16016
2023020112,6,69,0.1036
2023020113,6.1,68,0.084862
2023020114,6.5,66,0.052101
2023020115,5.6,74,0.014673
2023020116,5.8,73,0
2023020117,1.9,95,0
2023020118,3.4,87,0
2023020119,4.2,80,0
2023020120,4.5,77,0
2023020121,4.7,76,0
2023020122,5.1,72,0
2023020123,4.5,74,0
2023020200,4.5,73,0
2023020201,4.2,73,0
2023020202,4.2,74,0
2023020203,4.3,72,0
2023020204,4,72,0
2023020205,4,75,0
2023020206,4.6,74,0
2023020207,4.9,76,0
2023020208,3.8,74,0
2023020209,2.6,87,0.047766
2023020210,2.4,91,0.12973
2023020211,2.8,89,0.15324
2023020212,3.2,86,0.12837
2023020213,3.5,87,0.10443
2023020214,3.8,83,0.063981
2023020215,3.5,84,0.019217
2023020216,3.3,87,0
2023020217,2.9,90,0
2023020218,2.4,92,0
2023020219,2.2,94,0
2023020220,2.1,95,0
2023020221,2,97,0
2023020222,1.9,98,0
2023020223,2,99,0
2023020300,2.1,99,0
2023020301,2.2,99,0
2023020302,6.4,92,0
2023020303,6.7,89,0
2023020304,6.8,90,0
2023020305,7.3,83,0
2023020306,7.7,79,0
2023020307,7.6,78,0
2023020308,7.7,78,0
2023020309,7.4,83,0.063357
2023020310,7.6,85,0.1452
2023020311,7.9,87,0.13022
2023020312,8.5,83,0.052762
2023020313,9,81,0.04271
2023020314,7.9,78,0.025526
2023020315,7.9,76,0.0066043
2023020316,8.1,71,0
2023020317,7.6,68,0
2023020318,7,67,0
2023020319,6.5,68,0
2023020320,6.6,68,0
2023020321,6.1,65,0
2023020322,6,70,0
2023020323,5.1,79,0
2023020400,5,77,0
