deu_2006,deu_2007,deu_2008,deu_2009,deu_2010,deu_2011
47823,46293,47488,46380,45423,47821
47823,44860,45605,44768,44958,46209
43444,43393,43701,42497,43357,44236
41432,42247,42016,40512,41577,42502
40508,41857,40879,38809,40239,41479
38865,41221,39283,37225,39146,39923
35817,39013,36278,34516,37415,37054
35555,39215,36362,34340,36844,37075
36263,39636,36626,34893,37079,37694
38569,41604,38587,37165,38899,40026
41078,44055,41201,39418,40984,42757
44206,47230,44198,41962,43556,45760
45108,48285,45750,43376,45168,46897
44216,48500,45375,43131,45006,46277
43870,47670,45514,42926,44513,45775
43922,47640,45913,43288,44689,45682
46880,50058,48707,45582,47069,47270
51673,54704,52706,48980,50440,51397
52934,56083,53722,49643,51420,52165
52123,55462,53071,48559,50351,51343
50288,53227,51203,46685,48600,49536
50209,52868,50605,46323,47511,48873
51361,53292,51419,47195,48469,49465
48050,49902,48636,44835,46351,46970
44990,46821,46067,42347,43731,43949
43319,44380,43884,40205,41647,41708
42327,43319,42909,38950,40550,40489
41921,43218,42610,38389,39944,39711
42697,43548,43187,38563,39962,39407
44602,45612,45404,38951,39604,38394
48751,50695,49446,39709,39023,36450
55363,57050,55797,43178,41494,37746
59779,61179,59481,46758,44873,40223
62054,63319,61438,49749,48209,44044
63978,65146,62678,51165,50078,46999
65766,67254,63884,52429,51656,50112
65965,67488,64225,53184,52257,50307
65178,66858,63654,52274,51440,48296
64080,66246,63013,51283,50802,46952
63669,65678,63129,51244,50959,46659
64871,67242,64986,53337,52592,48578
67751,69649,68985,57717,57243,53431
65494,69281,68962,57527,57623,54407
65395,67022,67243,55576,56395,53168
61546,63364,64208,52517,53209,50724
59784,61539,62328,51205,51751,50277
59486,60369,61694,51766,52337,51200
54916,55659,58273,49417,50131,49244
51829,51554,55065,46818,47263,46273
49637,49499,52841,44767,45232,44234
48680,48378,51628,43396,43657,43111
48487,48448,51215,42282,42125,42779
48975,49326,51664,41757,41626,43867
49969,51128,53307,41092,40730,46307
53502,54971,56565,39896,39329,51555
59379,60725,62472,41938,40137,58542
62764,64060,65989,44489,41573,62594
64240,65303,67425,47287,43922,64472
65613,66630,68323,48438,46302,66161
66924,68076,69560,49502,48891,67000
66890,67819,69768,50239,49692,67258
65817,67184,68830,50007,48422,66368
64798,66355,68253,50161,47521,65330
64358,65722,68177,51129,47382,64734
65730,67562,69626,53769,49893,65613
68930,70767,72743,58346,54129,69109
68462,70346,72362,58914,55223,68835
66270,68499,70617,57612,54069,67118
62782,65220,66888,54606,51966,64188
60977,63161,64640,53364,51092,61785
60251,62111,63646,54309,52157,60913
56239,57455,60106,51770,49795,56578
52859,52841,56782,49008,47204,53791
50821,50607,54376,46462,44941,51514
49464,49652,52937,44661,43753,50075
49190,49953,52401,43086,43205,49481
49824,50768,52618,42277,43571,50019
50895,52567,53538,41023,44570,51521
54410,56873,56865,38682,48193,55831
60466,62897,62711,39339,53556,61880
63306,66611,66027,41511,56857,64991
64676,67938,67557,44291,58919,66961
66058,69251,68463,46708,60324,67626
67349,70978,69024,49445,61495,68240
66987,70614,68813,50077,61932,68360
