time,HP (W),PV (W),EL (W)
2024-03-31 22:00:00z,28,0,198
2024-03-31 22:05:00z,28,0,204
2024-03-31 22:10:00z,28,0,113
2024-03-31 22:15:00z,28,0,108
2024-03-31 22:20:00z,28,0,105
2024-03-31 22:25:00z,28,0,105
2024-03-31 22:30:00z,28,0,107
2024-03-31 22:35:00z,28,0,138
2024-03-31 22:40:00z,28,0,179
2024-03-31 22:45:00z,28,0,178
2024-03-31 22:50:00z,28,0,309
2024-03-31 22:55:00z,29,0,340
2024-03-31 23:00:00z,29,0,345
2024-03-31 23:05:00z,29,0,344
2024-03-31 23:10:00z,29,0,344
2024-03-31 23:15:00z,29,0,345
2024-03-31 23:20:00z,29,0,418
2024-03-31 23:25:00z,29,0,415
2024-03-31 23:30:00z,29,0,400
2024-03-31 23:35:00z,29,0,341
2024-03-31 23:40:00z,29,0,340
2024-03-31 23:45:00z,29,0,341
2024-03-31 23:50:00z,29,0,341
2024-03-31 23:55:00z,29,0,341
2024-04-01 00:00:00z,29,0,386
2024-04-01 00:05:00z,29,0,412
2024-04-01 00:10:00z,29,0,410
2024-04-01 00:15:00z,29,0,353
2024-04-01 00:20:00z,29,0,344
2024-04-01 00:25:00z,29,0,349
2024-04-01 00:30:00z,29,0,395
2024-04-01 00:35:00z,29,0,395
2024-04-01 00:40:00z,29,0,429
2024-04-01 00:45:00z,29,0,465
2024-04-01 00:50:00z,29,0,462
2024-04-01 00:55:00z,29,0,433
2024-04-01 01:00:00z,29,0,390
2024-04-01 01:05:00z,29,0,388
2024-04-01 01:10:00z,29,0,383
2024-04-01 01:15:00z,29,0,216
2024-04-01 01:20:00z,29,0,382
2024-04-01 01:25:00z,29,0,406
2024-04-01 01:30:00z,29,0,408
2024-04-01 01:35:00z,29,0,406
2024-04-01 01:40:00z,29,0,228
2024-04-01 01:45:00z,30,0,284
2024-04-01 01:50:00z,29,0,336
2024-04-01 01:55:00z,29,0,335
2024-04-01 02:00:00z,29,0,335
2024-04-01 02:05:00z,29,0,198
2024-04-01 02:10:00z,29,0,407
2024-04-01 02:15:00z,29,0,408
2024-04-01 02:20:00z,29,0,282
2024-04-01 02:25:00z,29,0,248
2024-04-01 02:30:00z,29,0,336
2024-04-01 02:35:00z,29,0,335
2024-04-01 02:40:00z,29,0,177
2024-04-01 02:45:00z,29,0,336
2024-04-01 02:50:00z,29,0,368
2024-04-01 02:55:00z,29,0,310
2024-04-01 03:00:00z,29,0,412
2024-04-01 03:05:00z,29,0,300
2024-04-01 03:10:00z,29,0,168
2024-04-01 03:15:00z,29,0,340
2024-04-01 03:20:00z,29,0,339
2024-04-01 03:25:00z,29,0,171
2024-04-01 03:30:00z,29,0,404
2024-04-01 03:35:00z,29,0,330
2024-04-01 03:40:00z,29,0,278
2024-04-01 03:45:00z,29,0,368
2024-04-01 03:50:00z,29,0,217
2024-04-01 03:55:00z,29,0,293
2024-04-01 04:00:00z,1705,1,325
2024-04-01 04:05:00z,2801,2,187
2024-04-01 04:10:00z,2887,2,266
2024-04-01 04:15:00z,2993,2,381
2024-04-01 04:20:00z,3108,1,214
2024-04-01 04:25:00z,3287,1,420
2024-04-01 04:30:00z,59,0,308
2024-04-01 04:35:00z,38,0,304
2024-04-01 04:40:00z,36,0,393
2024-04-01 04:45:00z,36,0,269
2024-04-01 04:50:00z,2631,0,314
2024-04-01 04:55:00z,1380,1,367
2024-04-01 05:00:00z,38,0,371
2024-04-01 05:05:00z,35,1,534
2024-04-01 05:10:00z,35,3,368
2024-04-01 05:15:00z,65,22,411
2024-04-01 05:20:00z,3246,46,421
2024-04-01 05:25:00z,58,64,224
2024-04-01 05:30:00z,37,91,396
2024-04-01 05:35:00z,35,97,385
2024-04-01 05:40:00z,65,94,493
2024-04-01 05:45:00z,3241,113,373
2024-04-01 05:50:00z,717,104,332
2024-04-01 05:55:00z,37,145,419
2024-04-01 06:00:00z,35,211,249
2024-04-01 06:05:00z,34,228,420
2024-04-01 06:10:00z,1921,287,367
2024-04-01 06:15:00z,2006,283,332
2024-04-01 06:20:00z,37,286,458
2024-04-01 06:25:00z,35,344,301
2024-04-01 06:30:00z,34,353,474
2024-04-01 06:35:00z,60,290,317
2024-04-01 06:40:00z,3198,359,365
2024-04-01 06:45:00z,709,326,350
2024-04-01 06:50:00z,36,311,281
2024-04-01 06:55:00z,34,339,416
2024-04-01 07:00:00z,31,357,302
2024-04-01 07:05:00z,53,392,507
2024-04-01 07:10:00z,3190,407,406
2024-04-01 07:15:00z,51,457,1222
2024-04-01 07:20:00z,32,461,1022
